,offer date,IPO name,cusip,SPAC IPO ,datadate,scf,src,apdedate,fdate,pdate,acchg,acominc,acox,am,ano,ao,aoloch,aox,ap,at,caps,capx,ch,che,cogs,cshi,csho,cstk,dd,dlc,dn,do,dt,ebit,epspi,fca,gdwl,gp,ib,intan,invt,lct,lt,ni,niadj,np,pi,pnrsho,ppegt,ppent,re,revt,sale,seq,teq,tstk,txt,wcap,naicsh,mkvalt
14,06/21/1994,Dominion Resources Black Trust,25746Q108,0,2000-12-31,,53.0,,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,65.691,,,0.078,0.078,0.0,7.85,7.85,,0.0,0.0,0.0,0.0,0.0,20.149,2.58,,0.0,20.875,20.229,0.0,0.0,0.116,0.116,20.229,20.229,0.0,20.229,,0.0,0.0,,20.875,20.875,65.575,65.575,0.0,0.0,,533110.0,121.2825
15,07/11/1994,Greenbrier,393657101,0,2000-08-31,7.0,53.0,,,,0.0,,0.0,,,53.085,-1.376,53.085,90.807,584.109,50.249,93.821,,12.819,492.703,14.227,14.227,0.014,0.0,45.053,127.629,0.0,197.111,52.168,1.01,,,126.726,14.354,,127.484,,437.426,14.354,14.354,13.019,32.057,,299.661,199.702,91.352,619.429,619.429,141.615,,0.0,16.053,,336510.0,117.3728
16,07/28/1994,RF Monolithics,74955F106,0,2000-08-31,7.0,5.0,,,,0.0,,1.867,,,3.144,-0.653,3.144,5.602,45.767,30.203,1.536,0.542,4.085,36.847,6.208,6.172,0.006,0.0,6.928,0.0,0.0,6.996,-9.087,-1.26,,0.0,10.409,-7.608,0.222,11.176,15.313,15.381,-7.608,-7.608,0.0,-11.222,,38.331,14.063,0.404,47.256,47.256,30.386,,0.227,-3.614,13.025,334220.0,52.462
17,09/21/1994,Banco Wiese Limitado,059651109,0,2000-12-31,,5.0,,,,,,,,,626.652,,,2766.591,4423.33,89.825,,751.925,751.925,314.586,582.358,582.358,312.375,,0.0,,0.0,,,-0.04,0.0,0.0,193.31,-18.879,0.0,0.0,,4000.529,-18.879,-18.879,0.0,-15.627,,,203.516,12.857,507.896,507.896,422.639,,0.0,3.248,,522110.0,
18,10/24/1994,Greenwich St CA Mun Fund Inc,397009101,0,2000-08-31,,,,,,,,,,,,,,,,,,,,,,3.658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,
19,10/28/1994,Alliance All-Market Advantage,01852M108,0,2000-09-30,,,,,,,,,,,,,,,,,,,,,,3.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,
20,11/15/1994,Cannondale,137798104,0,2000-06-30,7.0,5.0,,,,0.0,,8.871,,,18.903,-8.052,18.903,15.912,164.907,57.935,5.982,5.064,5.064,105.199,8.808,7.515,0.088,3.696,6.812,,0.0,67.94,0.231,-0.34,0.169,,55.32,-2.292,,40.413,30.434,94.221,-2.526,-2.526,2.235,-4.194,,72.26,40.114,32.825,160.519,160.519,70.686,,20.162,-1.902,75.456,336991.0,48.8475
21,12/01/1994,Arel Communications & Software,M14925107,0,2000-12-31,7.0,53.0,,,,0.0,,0.0,0.878,,0.072,0.0,0.072,1.937,54.416,52.738,0.457,14.078,16.203,7.863,12.854,12.854,0.004,0.0,0.022,0.0,-0.39,0.0,-1.529,-0.11,,21.229,7.215,-0.716,21.229,2.519,6.661,7.229,-1.106,-1.106,0.022,-0.615,,3.764,2.547,-5.555,15.078,15.078,47.187,,0.0,0.101,21.524,541512.0,33.7418
22,12/05/1994,Apollo Group (U of Phoenix),037604105,0,2000-08-31,7.0,5.0,,,,0.0,,14.155,1.4,,13.594,10.324,13.594,12.96,404.79,95.259,34.83,59.912,153.819,321.274,79.888,75.51,0.104,0.0,0.0,,0.0,,120.077,0.94,,38.548,288.723,71.191,38.548,0.0,131.089,,71.191,71.191,0.0,120.305,,150.282,87.833,249.198,609.997,609.997,261.208,,83.353,49.114,115.818,611310.0,3081.7519
23,01/10/1995,Diasys,252838107,0,2000-06-30,7.0,5.0,,,,0.0,,0.112,,,0.041,-0.067,0.028,0.115,3.707,11.658,0.012,2.416,2.416,0.238,6.275,6.275,0.006,0.0,0.0,0.0,0.0,0.0,-0.998,-0.15,,0.0,0.703,-0.946,0.044,0.314,0.115,0.115,-0.946,-0.946,0.0,-0.946,,0.232,0.088,-8.072,0.941,0.941,3.592,,0.0,0.0,3.272,334516.0,59.6125
24,02/02/1995,Integrated Silicon Solutions,45812P107,0,2000-09-30,7.0,5.0,,,,0.0,,1.271,0.0,,5.586,0.099,5.586,33.454,260.724,217.827,3.489,38.778,97.578,94.536,25.788,25.788,0.003,0.0,0.14,0.0,0.0,0.454,10.25,1.07,-0.04,0.0,47.387,25.026,0.0,63.217,44.179,49.489,25.026,25.026,0.0,25.706,,27.8,5.429,-6.595,141.923,141.923,211.235,,0.0,0.68,145.938,334413.0,365.8673
25,02/24/1995,Speedway Motorsports,847788106,0,2000-12-31,7.0,5.0,,,,-1.257,,2.946,,,34.14,-22.953,34.14,9.683,991.957,161.159,85.538,30.737,30.737,161.661,41.739,41.739,0.417,0.0,0.168,1.309,0.0,414.008,107.65,1.13,,,192.636,48.132,59.105,16.487,105.183,612.616,46.875,46.875,0.0,79.232,,930.573,798.481,217.765,354.297,354.297,379.341,,0.0,31.1,-21.88,711212.0,1001.736
26,03/06/1995,Riviana Foods Inc,769536103,0,2000-06-30,7.0,5.0,,,,0.0,,0.0,0.0,,6.364,1.501,6.364,24.906,209.115,6.553,15.088,13.528,15.11,286.717,15.883,14.121,15.883,,5.9,,0.0,2.365,33.945,1.74,,0.0,149.168,25.101,0.0,48.923,57.792,67.749,25.101,25.101,4.997,36.253,,140.035,86.124,146.406,435.885,435.885,134.931,,33.911,10.855,49.433,311212.0,246.2349
27,03/30/1995,ACT Manufacturing,000973107,0,2000-12-31,7.0,5.0,,,,0.0,,19.904,,,165.132,115.944,165.132,337.407,1067.803,171.22,9.367,48.298,48.298,1238.16,17.04,17.04,0.17,0.0,29.971,0.0,0.0,377.471,64.472,1.72,,144.25,132.437,28.939,,401.325,473.926,847.559,28.939,28.939,10.863,47.016,,137.351,77.888,48.854,1370.597,1370.597,220.244,,0.0,18.077,350.857,334412.0,268.38
28,04/10/1995,PMI Group,69344M101,0,2000-12-31,7.0,5.0,,,,0.0,,0.0,0.0,,173.393,-22.595,106.384,26.581,2392.657,267.762,20.07,21.969,173.867,346.095,52.794,44.31,0.528,0.0,3.721,99.609,0.0,235.928,380.742,5.88,,0.0,404.834,260.212,0.0,0.0,,893.446,260.212,260.212,0.0,373.866,,112.775,53.475,1574.252,750.929,750.929,1499.211,,343.331,113.654,,524126.0,2999.2331
29,04/20/1995,ANADIGICS,032515108,0,2000-12-31,7.0,5.0,,,,0.0,,6.51,0.0,,28.404,-8.444,28.404,10.985,352.473,329.362,43.564,95.116,148.37,67.402,30.028,30.028,0.3,0.0,1.25,0.0,0.0,3.25,16.796,0.64,,0.0,104.866,18.892,0.0,22.969,19.656,23.641,18.892,18.892,0.0,28.596,,189.669,106.635,-0.83,172.268,172.268,328.832,,0.0,9.704,179.987,334413.0,491.7085
30,05/04/1995,Phoenix Gold International,719068108,0,2000-09-30,7.0,5.0,,,,0.0,,0.315,0.04,,0.895,-0.113,0.895,0.797,13.954,0.0,0.377,1.653,1.653,19.158,3.027,3.027,6.551,0.0,0.0,0.0,0.0,0.0,1.608,0.33,,0.139,8.182,1.001,0.139,5.745,1.742,2.6,1.001,1.001,0.0,1.659,,4.919,0.807,4.803,27.34,27.34,11.354,,0.0,0.658,10.371,334310.0,5.6756
31,05/19/1995,Jilin Chemical Industrial,477418107,0,2000-12-31,7.0,3.0,,,,0.0,,1.316,8.868,,0.41,137.02,0.41,71.696,2139.646,277.157,147.718,27.661,27.661,1419.923,35.611,35.611,430.217,0.0,367.727,0.0,0.0,1043.141,70.592,-2.98,6.761,0.0,252.912,-106.164,172.397,219.962,529.813,1445.572,-106.164,-106.164,240.345,-104.262,,1616.449,1250.181,-20.293,1672.835,1672.835,687.081,,0.0,-0.17,157.394,325110.0,
32,05/22/1995,Harmonic Lightwaves,413160102,0,2000-12-31,7.0,5.0,,,,0.0,,41.467,,,89.525,-19.582,89.525,32.783,425.944,1952.784,29.877,13.505,99.669,174.898,57.891,57.891,0.058,0.0,0.0,0.0,0.0,0.0,-262.907,-34.06,,,88.148,-1654.008,,80.191,94.435,130.242,-1654.008,-1654.008,0.0,-1672.579,,95.599,47.366,-1657.14,263.046,263.046,295.702,,0.0,-18.571,194.618,334220.0,329.2551
33,06/01/1995,FEI,30241L109,0,2000-12-31,7.0,5.0,,,,-7.499,,28.375,6.151,,21.475,5.618,21.475,32.682,314.823,0.0,13.901,24.031,24.031,172.819,28.489,28.489,222.547,0.0,0.0,0.0,0.0,25.674,36.52,0.47,-0.267,34.328,147.481,20.81,59.779,59.796,109.973,146.534,13.311,13.311,0.0,34.883,,54.076,28.171,-54.258,320.3,320.3,168.289,,0.0,14.073,91.175,334516.0,648.1248
34,06/02/1995,ResMed,761152107,0,2000-06-30,7.0,5.0,,,,0.0,,6.719,,,2.878,-1.572,2.878,5.929,115.594,41.495,16.168,18.25,21.963,30.053,30.594,30.594,0.122,0.0,0.0,0.0,0.0,0.0,33.138,0.74,-0.182,5.626,85.562,22.226,6.968,15.802,21.622,21.622,22.226,22.226,0.0,34.166,,50.128,36.576,52.355,115.615,115.615,93.972,,0.0,11.94,47.55,334510.0,818.3895
35,06/06/1995,Med-Design,583926100,0,2000-12-31,7.0,5.0,,,,0.0,,0.301,,,1.672,-1.628,1.672,0.317,8.566,32.975,0.019,1.728,6.061,7.023,10.508,10.508,0.105,0.0,0.01,0.0,0.0,0.021,-3.079,-0.3,,0.0,-2.894,-2.793,,0.0,0.574,0.585,-2.793,-2.943,0.0,-2.793,,1.549,0.532,-25.099,4.129,4.129,7.981,,0.0,0.0,5.788,339112.0,166.8145
36,06/30/1995,Telesoft,879924108,0,2000-11-30,7.0,5.0,,,,0.0,,0.282,0.0,,0.196,0.534,0.196,5.199,10.222,0.0,0.598,0.041,0.041,12.323,3.788,1.377,0.665,0.0,1.375,0.0,0.0,0.0,-0.629,-0.02,,0.0,12.29,-0.05,0.0,0.208,7.908,8.03,-0.05,-0.05,1.375,-0.091,,3.645,1.407,2.192,24.613,24.613,2.192,,0.665,-0.041,0.711,541219.0,1.377
37,07/13/1995,Martin Industries,57326K102,0,2000-12-31,7.0,5.0,,,,0.0,,0.8,,,1.979,0.02,1.979,6.833,41.508,24.414,2.394,0.003,0.003,60.277,9.765,8.573,0.098,0.0,10.98,0.0,0.0,2.461,-17.798,-3.19,,0.483,3.403,-24.593,0.483,16.974,23.295,25.212,-24.593,-24.593,8.519,-18.823,,27.103,12.904,-4.427,63.68,63.68,16.296,,3.789,5.77,2.349,333414.0,5.3581
38,07/19/1995,Deswell Industries,250639101,0,2001-03-31,7.0,53.0,,,,0.0,,1.833,0.036,,0.0,1.611,0.0,4.274,83.466,26.843,13.926,25.33,27.318,47.557,5.598,5.598,0.056,0.0,0.0,0.0,0.0,0.0,12.837,2.38,-0.644,0.513,33.29,12.81,0.513,12.034,10.034,10.049,12.81,12.81,0.0,13.746,,44.515,25.563,36.978,80.847,80.847,63.877,,0.0,0.315,47.356,326199.0,79.7715
39,08/08/1995,WFS Financial,92923B106,0,2000-12-31,7.0,5.0,,,,0.0,,0.0,0.0,,27.832,-42.066,27.832,,3575.137,4.337,7.55,25.296,25.296,248.909,28.447,28.447,112.071,0.0,0.0,2395.582,0.0,2631.566,240.93,2.36,,0.0,249.853,66.372,0.0,0.0,,3257.932,66.372,66.372,0.0,110.588,,62.456,36.526,200.797,498.762,498.762,317.205,,0.0,44.216,,522291.0,526.2695
40,08/09/1995,Oakley,673662102,0,2000-12-31,7.0,5.0,,,,0.0,,25.199,,,4.298,8.851,4.298,23.264,302.986,36.484,26.999,4.855,4.855,118.031,68.612,68.612,0.686,0.0,19.42,0.0,0.0,17.845,81.264,0.74,,,245.443,51.052,18.105,61.998,74.583,94.813,51.052,51.052,17.901,78.541,,201.609,121.824,171.003,363.474,363.474,208.173,,0.0,27.489,84.176,339115.0,926.262
41,09/21/1995,Alternate Postal Delivery,02145P106,0,2000-12-31,7.0,53.0,,,,0.0,,0.156,,,0.073,0.154,0.073,1.258,9.54,0.0,0.14,3.196,3.196,16.3,4.689,4.689,11.822,0.0,0.0,0.0,0.0,0.0,-0.907,0.49,,2.154,5.539,2.282,2.154,0.0,1.482,1.482,2.282,2.282,0.0,2.779,,0.409,0.114,-3.764,21.839,21.839,8.058,,0.0,0.497,5.717,541870.0,7.6196
42,09/21/1995,Midwest Express Holdings,597911106,0,2000-12-31,7.0,53.0,,,,-4.713,,9.351,,,3.361,10.596,3.361,6.216,305.997,11.609,56.109,15.703,15.703,458.837,14.55,13.807,0.145,0.0,20.0,2.886,0.0,2.886,4.178,0.04,,0.0,21.184,5.227,3.872,7.988,123.125,176.721,0.514,0.514,20.0,8.289,,351.983,244.775,133.513,480.021,480.021,129.276,,15.991,3.062,-69.136,481111.0,202.7903
43,10/03/1995,First Investors Financial,32058A101,0,2001-04-30,7.0,5.0,,,,0.0,,1.502,0.0,,6.575,-1.27,4.667,3.165,312.869,18.64,0.472,1.011,25.101,18.432,5.567,5.567,0.005,0.0,168.25,96.052,0.0,109.32,23.444,0.01,,0.0,28.953,0.052,0.0,0.0,,280.93,0.052,0.052,168.25,0.896,,,1.032,11.707,47.385,47.385,30.352,,0.0,0.327,,522220.0,20.0412
44,10/05/1995,ESS Technology,269151106,0,2000-12-31,7.0,5.0,,,,0.0,,6.651,,,5.24,18.944,5.24,38.383,400.964,0.0,8.265,135.093,195.328,169.665,42.138,42.138,149.197,0.0,30.0,0.0,0.0,0.0,17.632,1.14,,0.0,133.771,48.306,1.415,100.997,106.845,115.906,48.306,48.306,30.0,62.823,,75.568,37.564,62.232,303.436,303.436,211.429,,0.0,22.946,248.015,334413.0,215.9573
45,10/05/1995,LeCroy,52324W109,0,2000-06-30,7.0,5.0,,,,0.0,,6.949,,,4.789,4.534,4.789,16.309,100.849,43.759,6.766,9.051,9.051,55.838,7.803,7.803,0.078,0.0,11.0,0.0,-11.009,0.0,6.885,-0.64,0.6,1.031,65.562,7.571,9.92,24.389,44.048,44.048,-3.438,-4.978,11.0,11.069,,39.827,15.093,3.272,121.4,121.4,56.801,,0.0,3.498,24.129,334515.0,77.0546
46,10/05/1995,Myriad Genetics,62855J104,0,2000-06-30,7.0,5.0,,,,0.0,,0.0,,,1.038,17.246,1.038,4.262,106.375,130.345,4.617,56.215,80.502,42.276,10.933,10.933,0.109,0.0,0.0,0.0,0.0,0.0,-11.548,-0.86,,0.0,-8.263,-8.722,,0.0,28.668,28.668,-8.722,-8.722,0.0,-8.722,,20.971,11.251,-52.747,34.013,34.013,77.707,77.707,0.0,0.0,57.264,325413.0,1618.9381
47,10/06/1995,Vodavi Technology,92857V102,0,2000-12-31,7.0,5.0,,,,0.0,,0.87,0.301,,2.924,1.357,2.924,1.374,24.895,13.363,0.291,0.564,0.564,29.287,4.554,4.235,0.005,0.0,6.259,0.0,0.0,0.0,1.462,0.1,,1.772,18.418,0.448,,6.707,12.176,12.311,0.448,0.448,6.259,0.757,,4.78,2.033,-0.025,47.705,47.705,12.584,,0.759,0.309,7.762,334210.0,4.8967
48,10/10/1995,APAC TeleServices,00185E106,0,2000-12-31,7.0,53.0,,,,0.0,,4.86,,,9.687,-1.185,9.687,8.21,231.795,100.344,15.236,41.192,41.192,330.245,49.521,48.654,0.495,1.036,20.508,0.626,0.511,104.991,34.676,0.36,,,134.11,16.67,47.757,0.0,68.811,157.984,17.181,17.181,0.0,26.726,,142.72,54.48,-23.982,464.355,464.355,73.811,,3.046,10.056,51.06,561422.0,179.4116
49,10/10/1995,Central Parking,154785109,0,2000-09-30,7.0,53.0,,,,0.0,,0.612,,,37.649,7.736,37.649,106.913,1022.305,248.817,52.242,43.214,43.214,541.762,36.33,36.33,0.363,0.0,55.76,208.472,0.0,419.295,81.909,1.0,,264.756,189.167,36.634,361.363,0.0,197.475,620.94,36.439,36.439,0.0,63.245,,496.65,432.833,121.077,730.929,730.929,370.257,,0.0,23.277,-89.252,812930.0,719.7881
50,10/12/1995,Oak Hill Financial,671337103,0,2000-12-31,,53.0,,,,,,,,,5.258,,,562.617,694.637,5.04,,13.224,13.301,31.773,5.415,5.111,2.707,,41.099,,0.0,,13.462,1.21,0.0,0.249,25.123,6.318,1.213,0.415,,644.741,6.318,6.318,0.143,9.49,,,9.296,46.829,56.896,56.896,49.896,,4.68,3.172,,522110.0,74.4289
51,10/12/1995,Sonus Pharmaceuticals,835692104,0,2000-12-31,7.0,5.0,,,,0.0,,0.346,0.0,,0.0,0.077,0.0,0.8,14.31,37.718,0.039,6.697,13.462,8.573,9.604,9.604,0.01,0.0,5.0,0.0,0.0,0.0,-8.551,-0.23,,0.0,-8.165,-2.147,0.0,0.0,5.8,5.8,-2.147,-2.147,5.0,-2.324,,3.976,0.502,-29.218,0.408,0.408,8.51,,0.0,-0.177,8.008,325413.0,6.0025
52,10/18/1995,ADE,00089C107,0,2001-04-30,7.0,5.0,,,,-1.785,1.413,8.08,,,11.255,8.837,11.255,6.833,146.707,102.429,3.682,29.22,31.133,44.443,13.553,13.553,0.136,11.339,0.621,0.0,0.0,11.96,1.198,0.04,,,55.74,2.293,,39.025,30.704,42.043,0.508,0.508,0.0,2.33,,47.284,29.569,2.099,100.183,100.183,104.664,,0.0,0.037,71.958,334515.0,216.1704
53,10/19/1995,De Rigo,245334107,0,2000-12-31,7.0,53.0,,,,0.0,,11.293,,,7.474,-0.131,4.068,55.582,395.05,50.982,23.889,23.911,28.843,132.075,44.5,44.5,10.788,0.0,74.476,1.031,0.0,1.449,22.233,0.3,,108.217,296.584,13.271,114.882,50.033,182.743,212.073,13.271,13.271,74.058,20.431,,151.546,115.654,116.015,428.659,428.659,177.785,,0.0,6.473,-25.703,339115.0,
54,10/23/1995,Gucci Group,401566104,0,2001-01-31,7.0,5.0,,,,0.0,,286.243,,,1803.517,-69.528,1803.517,446.162,6299.064,3049.386,223.965,3113.183,3113.183,623.074,102.628,,119.763,,111.78,,0.0,911.894,325.181,3.37,,,1635.437,336.69,,330.593,816.02,2164.047,336.69,336.69,111.78,385.434,,592.944,474.002,1051.441,2258.511,2258.511,4112.987,,107.603,44.8,3205.525,3169.0,
55,10/23/1995,Pharmacyclics,716933106,0,2000-06-30,7.0,5.0,,,,0.0,,2.925,0.0,,0.14,-1.03,0.14,2.851,185.123,272.685,1.774,43.536,108.71,31.805,16.007,16.007,0.002,0.0,0.059,0.0,0.0,0.059,-31.395,-1.6,,0.0,-30.201,-23.63,0.0,0.0,3.674,3.709,-23.63,-23.63,0.0,-23.63,,8.486,3.796,-91.273,1.604,1.604,181.414,,0.0,0.0,107.976,325412.0,976.427
56,10/26/1995,Winfield Capital,973859101,0,2001-03-31,,,,,,,,,,,,,,,,,,,,,,5.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,
57,11/07/1995,Sandisk,80004C101,0,2000-12-31,7.0,5.0,,,,0.0,,16.497,0.0,,37.087,17.924,37.087,67.112,1107.907,566.934,26.586,106.277,479.593,341.089,67.464,67.464,0.067,0.0,0.0,0.0,0.0,0.0,124.666,4.47,0.428,0.0,260.723,298.672,0.0,96.6,171.357,244.849,298.672,298.672,0.0,492.192,,77.69,41.095,296.057,601.812,601.812,863.058,,0.0,193.52,525.95,334112.0,1872.126
58,11/09/1995,Medwave,585081102,0,2001-04-30,7.0,5.0,,,,0.0,,0.0,0.01,,0.0,0.083,0.0,0.279,2.131,0.0,0.165,1.116,1.116,0.508,5.734,5.734,17.386,0.0,0.0,0.0,0.0,0.0,-2.969,-0.52,,0.0,0.047,-2.853,0.0,0.468,0.524,0.524,-2.853,-2.853,0.0,-2.853,,0.703,0.145,-15.779,0.555,0.555,1.607,,0.0,0.0,1.462,339112.0,22.9933
59,11/13/1995,Asta Funding,046220109,0,2000-09-30,7.0,5.0,,,,0.0,,0.181,0.0,,1.889,1.228,1.889,0.159,21.184,9.619,0.115,10.488,10.539,7.912,3.958,3.958,0.04,0.0,0.0,0.0,0.0,0.0,10.065,1.48,,0.0,10.198,5.83,0.0,0.0,,7.226,5.83,5.83,0.0,9.655,,0.535,0.156,4.299,18.11,18.11,13.958,,0.0,3.825,,522220.0,
60,11/15/1995,Photon Dynamics Inc,719364101,0,2000-09-30,7.0,5.0,,,,0.0,,1.375,0.0,,1.354,5.716,1.354,5.289,142.257,0.0,2.494,8.389,101.392,42.087,11.82,11.82,134.728,0.0,0.0,0.0,0.0,0.0,14.676,1.35,,0.0,40.147,14.753,0.0,13.09,15.702,15.702,14.753,14.753,0.0,17.991,,8.726,2.568,-8.173,82.234,82.234,126.555,,0.0,3.238,122.633,334515.0,446.205
61,11/16/1995,CFC International,125252106,0,2000-12-31,7.0,5.0,,,,0.0,,3.083,0.365,,0.249,0.023,0.249,2.564,56.401,11.784,3.758,0.299,0.299,42.006,4.937,4.562,0.049,3.205,3.384,0.774,0.0,24.418,2.553,0.07,,,26.234,0.322,4.735,11.074,10.075,33.306,0.322,0.322,0.0,0.502,,45.919,26.402,13.033,68.24,68.24,23.095,,1.771,0.18,14.94,332999.0,21.0993
62,11/16/1995,Estee Lauder,518439104,0,2000-06-30,7.0,53.0,,,,0.0,,201.7,,,143.9,-17.1,143.9,236.5,3043.3,237.1,180.9,320.3,320.3,825.3,238.738,237.861,2.4,0.0,7.0,200.0,0.0,425.1,515.8,1.22,-4.3,708.1,3541.5,314.1,739.2,546.3,901.8,1523.0,314.1,290.7,0.3,498.7,,974.2,480.3,951.5,4366.8,4366.8,1520.3,,30.7,184.6,716.7,325620.0,11759.2532
63,11/16/1995,IDX Systems,449491109,0,2000-12-31,7.0,53.0,,,,0.0,,15.948,0.0,,15.211,-12.451,15.211,18.04,297.491,187.896,28.387,16.357,70.683,228.661,28.399,28.399,0.284,0.0,0.0,0.0,0.0,0.0,-39.226,-1.28,,0.0,113.232,-35.968,0.0,0.0,76.559,76.559,-35.968,-35.968,0.0,-53.919,,110.057,71.59,-9.07,341.893,341.893,179.11,,0.0,-18.929,134.131,541512.0,709.975
64,11/16/1995,Waters,941848103,0,2000-12-31,7.0,5.0,,,,-10.771,,13.299,,,80.486,26.25,80.15,43.31,692.345,213.261,,75.509,75.509,266.64,129.811,129.811,1.298,0.0,4.879,0.0,0.0,0.0,210.827,1.14,,165.455,528.431,156.113,165.455,87.275,220.533,240.564,145.342,145.342,4.879,210.962,,170.965,102.608,237.222,795.071,795.071,451.781,451.781,0.0,54.849,123.263,334516.0,10839.2185
65,11/17/1995,Advanced Energy Industries,007973100,0,2000-12-31,7.0,5.0,,,,0.0,,9.991,,,6.145,12.7,3.884,18.25,365.835,123.31,14.062,31.716,189.527,172.823,31.537,31.537,0.032,0.0,1.337,1.043,0.0,83.98,90.783,2.17,-0.196,,186.959,60.424,9.89,45.266,44.249,126.892,68.034,68.034,0.0,92.685,,48.528,24.101,115.456,359.782,359.782,238.798,,0.0,32.241,279.626,334418.0,709.5825
66,11/20/1995,Boston Beer,100557107,0,2000-12-31,7.0,53.0,,,,0.0,,3.342,0.016,,1.671,-1.556,1.671,6.506,98.602,56.703,5.602,6.256,35.114,77.741,20.566,16.659,0.206,0.0,0.0,0.0,0.0,0.0,16.12,0.62,,1.477,112.813,11.239,1.477,15.739,20.446,24.913,11.239,11.239,0.0,19.05,,51.953,27.047,47.814,190.554,190.554,73.689,,31.034,7.811,47.961,312120.0,145.2124
67,11/20/1995,Emeritus,291005106,0,2000-12-31,7.0,5.0,,,,0.0,,9.908,,,8.029,0.867,8.029,3.143,178.079,66.373,11.441,7.496,7.921,101.504,10.12,10.12,0.001,0.0,82.628,141.477,0.0,173.477,-0.519,-2.69,,0.0,23.688,-21.936,5.983,0.0,105.782,218.378,-21.936,-27.263,1.65,-21.936,,155.147,135.072,-132.177,125.192,125.192,-40.803,,0.0,0.0,-81.167,623312.0,14.5475
