,datadate,cusip,scf,src,apdedate,fdate,pdate,acchg,acominc,acox,am,ano,ao,aoloch,aox,ap,at,caps,capx,ch,che,cogs,cshi,csho,cstk,dd,dlc,dn,do,dt,ebit,ebitda,epspi,fca,gdwl,gp,ib,intan,invt,lct,lt,ni,niadj,np,pi,pnrsho,ppegt,ppent,re,revt,sale,seq,teq,tstk,txt,wcap,naicsh,mkvalt,Seq. No.,Code,Industry
12275,2004-01-31,00104H107,,,,,,,,,,,,,,,,,,,,,,3.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
4881,2017-12-31,00108J109,7.0,5.0,2017-12-31,2018-10-22,,0.0,0.122,0.046,,0.0,1.294,2.753,1.294,7.419,67.891,49.695,0.651,17.681,17.681,19.01,15.345,15.345,0.001,0.0,5.106,0.0,0.0,0.0,0.7,0.971,-0.02,1.052,0.0,17.496,-0.318,0.106,15.388,21.817,28.034,-0.318,-0.318,5.106,-0.325,0.0,10.603,2.34,-9.839,36.506,36.506,39.857,39.857,0.0,0.547,41.097,333242.0,80.5613,698.0,333242.0,Semiconductor Machinery Manufacturing 
23067,2011-12-31,001228501,7.0,5.0,2011-12-31,2012-04-14,2012-03-01,0.0,0.0,0.0,0.0,0.0,1.481,0.78,1.429,18.759,1394.206,198.229,0.0,35.851,38.888,2.362,10.01,10.01,0.1,0.0,1150.149,0.0,0.0,0.0,19.279,,2.01,,0.0,19.279,18.971,0.0,0.0,,1187.922,18.971,18.971,1150.149,18.971,0.0,,,7.955,21.641,21.641,206.284,206.284,0.0,0.0,,525990.0,201.5013,1490.0,525990.0,Other Financial Vehicles 
20732,2008-12-31,00123Q104,,5.0,2008-12-31,2009-02-26,2009-02-05,,-25.606,0.0,,0.0,0.387,,0.387,0.248,1656.325,285.917,,56.012,74.704,,15.005,15.005,0.15,0.0,1346.265,0.0,,0.0,,,,,0.0,,,0.0,0.0,,1398.174,,,1346.265,,0.0,0.0,0.0,-27.916,,,258.151,258.151,0.0,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
6222,2000-12-31,001296102,7.0,5.0,,,,0.0,,8.998,8.1,,1.2,-5.707,1.2,5.414,364.498,176.836,17.284,19.926,19.926,279.583,17.41,15.489,0.175,0.0,0.16,1.215,44.189,68.176,11.624,25.224,0.27,,,176.58,-39.828,220.027,3.457,77.471,158.758,4.361,4.361,0.0,-65.724,,35.854,27.538,46.394,456.163,456.163,205.74,,17.665,-25.896,30.762,561320.0,155.8581,1659.0,561320.0,Temporary Help Services
5524,2000-06-30,001627108,7.0,5.0,,,,0.0,,2.905,,,5.804,-2.031,1.841,2.077,277.947,321.98,6.739,18.232,43.421,1.765,28.031,28.031,0.28,0.0,2.1,3.507,0.0,21.866,-48.849,-14.16,-2.36,,,27.274,-49.888,201.606,1.471,9.714,33.533,-49.888,-49.888,0.0,-49.388,,16.476,12.186,-77.846,29.039,29.039,244.414,,0.0,0.5,48.637,541890.0,166.4341,1626.0,541890.0,Other Services Related to Advertising 
19514,2013-12-31,00165C302,7.0,5.0,2013-12-31,2014-03-12,,0.0,24.204,176.405,,0.0,111.006,70.122,103.165,268.163,5046.724,1161.152,260.823,546.454,546.454,2274.234,97.24,97.207,0.972,0.0,16.08,655.999,1.296,2195.01,191.897,377.906,3.85,,2289.8,475.194,363.104,2563.356,10.645,657.996,3537.785,364.4,364.4,0.0,99.721,0.0,1407.989,1179.754,345.934,2749.428,2749.428,1508.939,1508.939,0.588,-263.383,185.527,512131.0,1997.6039,1349.0,512131.0,Motion Picture Theaters (except Drive-Ins) 
7053,2014-12-31,00167X205,7.0,5.0,2014-12-31,2015-04-26,2015-03-27,0.0,70.101,286.636,76.332,,257.037,-213.419,257.037,1501.721,9312.528,1523.528,21.809,771.111,803.825,5388.429,388.876,383.445,302.213,0.0,1106.038,0.0,-42.06,2054.738,389.451,490.708,0.42,0.0,3723.142,831.866,169.8,5170.338,21.809,3484.799,6159.541,127.74,127.74,0.0,241.459,0.0,400.355,244.575,1286.742,6220.295,6220.295,3107.81,3152.986,4.673,76.332,-266.384,541330.0,,1566.0,541330.0,Engineering Services
5303,2001-03-31,001733104,7.0,5.0,,,,0.0,,0.345,0.0,,0.118,0.35,0.118,1.438,5.07,10.036,0.382,0.86,0.86,5.64,6.932,6.818,0.069,0.0,0.328,0.0,0.0,0.597,-6.831,-5.891,-1.02,,0.0,-0.569,-7.101,0.0,1.138,2.369,2.781,-7.101,-7.101,0.143,-6.813,,5.697,1.869,-7.593,5.071,5.071,2.289,,0.223,0.288,0.714,334220.0,4.6874,749.0,334220.0,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
5252,2001-03-31,00180C105,7.0,5.0,,,,0.0,,2.921,0.25,,2.781,1.845,2.781,11.422,46.162,23.585,7.871,1.608,1.608,44.523,11.259,10.762,0.113,0.0,6.604,0.0,0.0,3.019,-5.787,-1.83,-0.87,,0.3,49.657,-8.225,0.3,14.582,23.799,25.764,-8.225,-8.225,5.55,-8.72,,19.455,10.056,1.168,94.18,94.18,20.398,,4.468,-0.495,9.226,334290.0,30.9408,751.0,334290.0,Other Communications Equipment Manufacturing
9544,2000-12-31,001813104,7.0,5.0,,,,0.0,,0.0,,,68.7,69.2,68.7,123.1,6537.6,895.6,79.4,21.4,343.3,1663.5,45.159,45.159,0.5,0.0,0.0,43.5,0.0,4505.6,67.9,1162.5,-0.04,,347.9,1868.5,-2.0,347.9,0.0,,5485.5,-2.0,-2.0,0.0,9.2,,5896.5,5027.4,-3.5,3532.0,3532.0,892.6,,0.0,3.8,,5321.0,158.0565,1514.0,5321.0,Automotive Equipment Rental and Leasing
8212,2000-12-31,00181E100,7.0,53.0,,,,0.0,,4.001,,,0.133,3.742,0.133,5.998,53.341,22.744,1.549,9.45,9.865,76.264,7.44,7.426,0.0,0.0,0.803,3.528,0.0,6.206,3.89,6.404,0.28,,,6.404,2.015,12.397,0.0,15.961,21.364,2.015,2.015,0.0,3.415,,14.416,10.201,9.273,82.668,82.668,31.977,,0.04,1.4,4.116,524127.0,23.6704,1465.0,524127.0,Direct Title Insurance Carriers 
1880,2014-06-30,00181T107,7.0,5.0,2014-06-30,2014-09-29,,0.0,0.0,22.797,0.4,0.0,0.0,-12.473,0.0,0.366,305.138,22.317,1.011,13.193,13.193,5950.979,6.963,6.963,0.07,0.0,168.519,0.0,0.0,0.0,11.871,12.805,1.1,-0.006,4.884,28.375,8.259,7.637,175.554,255.649,255.682,8.259,8.259,168.519,13.531,0.0,3.406,1.678,27.069,5979.354,5979.354,49.456,49.456,0.0,5.272,39.674,423510.0,77.7071,943.0,423510.0,Metal Service Centers and Other Metal Merchant Wholesalers 
1177,2013-12-31,00182C103,7.0,5.0,2013-12-31,2014-06-23,,0.0,0.0,0.58,0.6,0.0,0.0,-0.163,0.0,1.429,44.5,89.501,0.191,11.105,11.105,9.974,9.629,9.62,0.001,0.0,0.0,0.0,0.195,0.0,6.398,7.508,-0.92,,1.838,20.108,0.106,12.247,3.518,3.538,3.538,0.301,-4.674,0.0,0.126,0.011,7.734,4.537,-48.472,30.082,30.082,40.962,40.962,0.068,0.02,24.178,325412.0,193.1696,504.0,325412.0,Pharmaceutical Preparation Manufacturing 
5224,2000-12-31,00185E106,7.0,53.0,,,,0.0,,4.86,,,9.687,-1.185,9.687,8.21,231.795,100.344,15.236,41.192,41.192,330.245,49.521,48.654,0.495,1.036,20.508,0.626,0.511,104.991,34.676,65.5,0.36,,,134.11,16.67,47.757,0.0,68.811,157.984,17.181,17.181,0.0,26.726,,142.72,54.48,-23.982,464.355,464.355,73.811,,3.046,10.056,51.06,561422.0,179.4116,1667.0,561422.0,Telemarketing Bureaus and Other Contact Centers 
16073,2011-11-30,00187E203,,53.0,2011-11-30,2012-04-03,,0.0,0.171,6.502,,0.0,11.235,,11.235,33.46,506.447,322.675,,15.69,16.39,142.154,54.568,54.568,0.055,0.0,1.917,1.508,-0.036,167.184,2.629,13.275,-0.4,-0.042,253.17,55.416,-17.293,303.171,72.017,49.811,224.983,-17.329,-17.329,0.0,-30.143,0.0,52.634,44.149,-41.266,197.57,197.57,281.464,281.464,0.0,-12.85,98.081,334413.0,178.983,758.0,334413.0,Semiconductor and Related Device Manufacturing 
14775,2005-12-31,00191G103,7.0,5.0,2005-12-31,,,0.0,0.042,10.697,2.079,,18.712,0.433,17.789,20.811,442.362,54.922,5.237,22.643,22.643,272.535,44.599,44.599,0.044,0.0,20.441,0.0,0.0,273.812,89.825,108.99,1.43,,245.271,221.669,60.476,266.658,6.817,75.422,328.793,60.476,60.476,0.0,54.14,0.0,142.033,45.773,58.603,494.204,494.204,113.569,113.569,0.0,-6.336,35.797,561499.0,1133.2606,1678.0,561499.0,All Other Business Support Services 
10859,2001-12-31,00202H108,7.0,5.0,,,,0.0,-0.007,11.691,0.03,,8.903,-5.018,4.758,10.593,239.787,144.328,8.846,96.688,96.688,113.197,48.273,48.273,0.048,0.0,0.0,0.0,0.0,0.0,23.218,31.64,0.47,,0.0,78.832,12.628,0.27,51.253,98.86,109.717,12.628,11.677,0.0,22.167,,80.002,53.821,-14.306,192.029,192.029,130.07,,0.0,9.539,76.421,325412.0,1004.0784,504.0,325412.0,Pharmaceutical Preparation Manufacturing 
9600,2001-04-30,00208B204,7.0,5.0,,,,0.0,,7.094,,,5.072,0.983,0.0,16.779,403.503,228.542,108.743,79.88,79.88,211.375,133.945,,6.76,0.0,0.278,97.559,0.0,97.837,52.167,85.276,0.15,-0.058,0.0,128.861,32.546,0.0,29.361,28.693,152.937,19.42,19.42,0.0,37.896,,431.147,265.622,15.327,340.236,340.236,250.566,,0.063,5.35,104.116,334413.0,,758.0,334413.0,Semiconductor and Related Device Manufacturing 
16642,2010-12-31,00211E104,7.0,5.0,2010-12-31,2011-02-28,,0.0,0.0,0.808,1.992,,1.541,-0.764,1.541,4.458,87.83,132.804,0.009,0.066,1.393,81.059,31.562,22.664,0.003,0.0,1.252,0.0,0.0,14.624,10.462,13.002,0.32,,55.37,35.607,7.101,59.48,0.0,12.639,29.649,7.101,7.101,1.172,10.768,0.0,4.535,2.714,-42.962,116.666,116.666,58.181,58.181,31.664,3.667,11.456,,62.326,,,
20577,2008-03-31,00211V106,7.0,5.0,2008-03-31,2008-10-28,,0.0,-1.131,0.213,0.0,,2.251,1.724,2.251,0.0,62.27,71.075,0.816,47.375,47.375,9.163,23.605,21.815,0.521,0.0,0.0,0.0,0.0,0.0,3.341,3.726,0.13,-0.034,0.981,15.379,2.876,0.981,0.421,9.488,10.49,2.876,2.876,0.0,3.92,0.0,2.508,1.521,-17.519,24.542,24.542,51.78,,2.297,1.044,48.029,611699.0,,1767.0,611699.0,All Other Miscellaneous Schools and Instruction 
6083,2000-12-31,00211W104,7.0,5.0,,,,0.0,,42.882,5.025,,31.333,-4.917,27.158,54.163,400.02,136.882,11.376,2.035,2.035,215.818,20.924,20.752,0.209,0.0,14.7,0.0,-123.329,217.733,66.422,78.568,-4.69,,174.833,127.539,26.446,174.833,43.513,106.244,319.781,-96.883,-96.883,0.0,42.695,,69.779,44.07,-54.858,343.357,343.357,80.239,,1.994,16.249,43.54,336350.0,45.395,828.0,336350.0,Motor Vehicle Transmission and Power Train Parts Manufacturing
20984,2009-12-31,00211Y506,7.0,5.0,2009-12-31,2010-04-06,,0.0,0.0,0.522,0.0,0.0,0.061,-13.13,0.061,0.533,9.372,57.294,0.185,7.763,7.763,0.0,7.62,7.62,0.008,0.0,0.0,0.0,0.0,0.0,-22.85,-22.393,-1.42,,0.0,0.0,-9.138,0.0,0.0,1.644,1.96,-9.138,-10.054,0.0,-11.419,0.0,1.667,1.026,-49.89,0.0,0.0,7.412,7.412,0.0,-2.281,6.641,325414.0,24.8412,506.0,325414.0,Biological Product (except Diagnostic) Manufacturing 
3456,2015-12-31,002120202,7.0,5.0,2015-12-31,2016-03-30,,0.0,-0.171,2.415,0.0,0.0,0.118,-0.666,0.118,3.872,129.675,273.321,0.664,53.025,95.535,0.0,23.67,23.67,0.024,0.0,3.366,0.0,0.0,5.142,-46.216,-45.347,-2.08,,0.0,0.0,-47.973,0.0,0.0,12.148,14.625,-47.973,-47.973,0.0,-47.973,0.0,5.541,1.793,-158.295,0.0,0.0,115.05,115.05,0.0,0.0,85.802,325414.0,232.6761,506.0,325414.0,Biological Product (except Diagnostic) Manufacturing 
2128,2014-12-31,002121101,7.0,5.0,2014-12-31,2015-04-02,2015-02-10,0.0,0.0,4.732,0.1,0.0,3.862,12.394,0.962,8.994,186.98,278.349,6.1,91.905,91.905,32.816,61.377,61.377,0.001,0.0,0.0,0.0,0.0,0.0,-37.244,-27.123,-0.6,-2.0,0.0,146.691,-34.72,0.997,20.701,70.685,90.415,-34.72,-34.72,0.0,-33.213,0.0,36.524,10.78,-181.785,179.507,179.507,96.565,96.565,0.0,1.507,100.656,334118.0,267.6037,744.0,334118.0,Computer Terminal and Other Computer Peripheral Equipment Manufacturing 
155,2013-06-30,00213H105,7.0,5.0,2013-06-30,2013-10-16,,0.0,0.0,1.274,0.463,,0.211,-0.261,0.211,5.496,66.672,13.28,0.818,3.601,3.601,46.801,,5.673,0.003,0.0,7.41,5.288,-0.274,32.064,6.672,10.065,0.55,,11.497,21.685,3.313,16.119,10.78,16.301,40.955,3.039,3.039,0.0,4.326,0.0,33.631,24.051,11.355,68.486,68.486,24.637,25.717,0.001,0.722,9.99,332999.0,30.0669,684.0,332999.0,All Other Miscellaneous Fabricated Metal Product Manufacturing 
11118,2004-09-30,00213J101,7.0,5.0,2004-09-30,,,0.0,0.0,0.076,0.021,,0.0,0.339,0.0,1.486,10.834,5.929,0.327,2.594,2.594,15.154,4.993,4.993,0.001,0.0,0.0,0.0,0.0,0.0,2.327,2.69,0.36,,0.042,5.512,1.618,0.243,3.481,2.84,2.966,1.618,1.566,0.0,2.228,0.0,5.531,2.899,1.938,20.666,20.666,7.868,,0.0,0.61,4.827,333112.0,27.0121,689.0,333112.0,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing 
4590,2017-12-31,00215L104,7.0,5.0,2017-12-31,2018-05-05,2018-03-24,0.0,0.0,1.487,2.547,,0.935,-0.894,0.637,15.174,115.121,65.434,0.548,0.003,0.003,99.755,9.806,9.806,0.01,0.0,2.0,12.664,0.0,27.175,5.314,9.957,0.17,,30.579,23.585,1.709,53.856,26.691,23.406,49.32,1.709,1.709,0.0,1.101,0.0,20.001,13.797,0.357,123.34,123.34,65.801,65.801,0.0,-0.608,23.127,333120.0,99.5309,691.0,333120.0,Construction Machinery Manufacturing
23826,2000-12-31,00215W100,7.0,5.0,,,,0.0,,73.307,14.056,,38.455,12.04,11.321,116.368,3266.239,219.199,0.0,427.088,477.817,813.19,550.4,550.4,829.665,0.0,415.073,0.0,0.0,803.213,297.773,556.856,0.32,9.127,150.725,721.13,175.977,150.725,97.869,780.024,1586.077,175.977,175.977,291.963,253.348,,2509.994,1825.933,267.663,1534.32,1534.32,1316.527,,0.0,32.13,148.154,561990.0,,1712.0,561990.0,All Other Support Services
23961,2002-12-31,002255404,7.0,5.0,,,,0.0,0.782,59.653,34.544,,150.643,38.435,132.132,320.794,3722.519,914.067,519.749,748.047,841.183,1467.105,402.419,401.515,1159.739,28.703,295.751,0.0,0.0,1023.624,222.303,588.229,0.5,-6.075,0.0,714.139,173.564,86.007,245.232,726.349,1479.636,173.564,173.564,22.203,173.567,,2787.087,2047.415,174.346,2181.244,2181.244,2242.883,,5.269,0.003,709.675,334413.0,,758.0,334413.0,Semiconductor and Related Device Manufacturing 
7555,2000-12-31,00246W103,7.0,5.0,,,,0.0,,2.214,0.548,,3.312,4.703,3.312,10.009,250.22,145.619,26.278,68.585,99.437,64.438,21.952,21.952,0.022,11.443,11.765,8.035,-2.828,32.813,22.853,30.255,1.1,,0.848,57.065,24.438,0.848,51.846,42.272,64.873,21.61,21.61,1.353,39.416,,80.969,63.401,36.174,121.503,121.503,185.347,,0.0,14.978,140.387,334413.0,725.788,758.0,334413.0,Semiconductor and Related Device Manufacturing 
5843,2000-12-31,00252W104,7.0,5.0,,,,-0.961,,12.746,,,3.847,1.941,3.847,8.85,112.151,70.339,4.586,1.225,1.225,43.702,17.631,17.631,0.018,0.0,16.884,0.0,0.0,1.024,2.034,9.287,-0.02,,,60.543,0.559,11.266,11.459,44.319,46.43,-0.402,-0.402,16.369,0.118,,79.385,42.161,-4.636,104.245,104.245,65.721,,0.0,-0.441,10.558,541380.0,179.6158,1576.0,541380.0,Testing Laboratories and Services
418,2013-12-31,00287Y109,7.0,5.0,2013-12-31,2014-02-24,,0.0,-442.0,2000.0,509.0,0.0,767.0,33.0,767.0,933.0,29198.0,3671.0,491.0,9595.0,9895.0,3653.0,1594.261,1587.361,16.0,0.0,431.0,14700.0,0.0,14310.0,6315.0,7212.0,2.58,-55.0,6277.0,15137.0,4128.0,8167.0,1150.0,6879.0,24706.0,4128.0,4102.0,413.0,5332.0,0.0,6909.0,2298.0,1125.0,18790.0,18790.0,4492.0,4492.0,320.0,1204.0,10969.0,325412.0,83828.5344,504.0,325412.0,Pharmaceutical Preparation Manufacturing 
23864,2013-12-31,00289R201,7.0,5.0,2013-12-31,2014-03-27,,0.0,-1024.18,250.236,,0.0,1829.078,206.178,1829.078,6653.791,29146.505,1543.123,139.759,4067.124,4080.224,7177.237,173.115,165.113,126.57,0.0,2072.448,,-0.82,16356.289,1094.006,1881.009,0.9,-5.83,655.962,3575.203,140.601,1160.345,348.339,10252.153,26538.136,139.781,139.781,144.558,92.3,0.0,17334.186,15415.755,150.312,10752.44,10752.44,1820.005,2608.369,0.0,-60.535,-1647.349,541330.0,,1566.0,541330.0,Engineering Services
10311,2004-12-31,00299A933,7.0,5.0,2004-12-31,,,0.0,0.0,0.0,,,0.0,1.024,0.0,4.342,12.341,26.242,6.893,1.256,1.256,1.018,18.036,18.036,0.018,0.0,1.002,0.0,0.0,0.0,-13.99,-13.958,-1.02,,0.0,1.098,-13.99,1.45,2.002,5.347,5.347,-13.99,-16.412,1.002,-13.99,1.675,7.183,7.16,-19.268,2.116,2.116,6.994,,0.0,0.0,-1.616,325412.0,60.9617,504.0,325412.0,Pharmaceutical Preparation Manufacturing 
4348,2000-11-30,00301T102,,,,,,,,,,,,,,,,,,,,,,11.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
19233,2007-10-31,00302L108,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18057,2006-12-31,00302M106,,,,,,,,,,,,,,,,,,,,,,23.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22854,2011-12-31,003057106,,,,,,,,,,,,,,,,,,,,,,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22528,2010-12-31,003263100,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18706,2007-12-31,00326L100,,,,,,,,,,,,,,,,,,,,,,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7718,2000-12-31,00339B107,7.0,5.0,,,,0.0,,11.965,3.992,,3.21,-3.702,3.21,6.339,936.8,938.964,13.809,167.242,692.883,57.04,85.402,85.402,0.009,0.0,0.316,0.0,0.0,0.316,-36.387,-30.439,-0.11,,,-30.439,-8.793,117.997,0.0,96.558,97.125,-8.793,-8.793,0.0,-8.793,,23.384,18.374,-99.298,26.601,26.601,839.675,,0.0,0.0,621.48,325414.0,5044.0556,506.0,325414.0,Biological Product (except Diagnostic) Manufacturing 
8012,2000-12-31,00371F305,7.0,5.0,,,,0.0,,0.0,0.502,,0.086,-0.038,0.086,2.108,6.963,16.988,0.321,1.377,1.377,8.866,20.977,20.977,0.021,0.0,0.008,1.043,0.0,1.051,-8.265,-7.3,-0.58,-0.045,1.051,1.781,-11.837,1.061,0.303,2.116,3.159,-11.837,-11.837,0.0,-11.837,,3.696,3.058,-13.205,10.647,10.647,3.804,,0.0,0.0,0.542,561920.0,73.4195,1710.0,561920.0,Convention and Trade Show Organizers
20365,2007-12-31,00383Y102,7.0,5.0,2007-12-31,2008-07-12,,0.0,0.804,52.268,38.615,,24.296,-37.793,24.296,33.579,1502.255,1192.461,40.581,705.125,705.125,24.007,39.994,39.994,0.04,0.0,0.0,0.0,0.0,0.0,-58.127,-9.069,-1.04,,241.361,309.679,-41.604,446.592,73.677,141.791,304.868,-41.604,-41.604,0.0,-49.556,0.0,179.494,145.12,4.886,333.686,333.686,1197.387,,0.0,-7.952,735.181,325414.0,2750.3874,506.0,325414.0,Biological Product (except Diagnostic) Manufacturing 
5147,2000-12-31,003881307,7.0,5.0,,,,-0.246,,1.034,2.251,,0.477,0.011,0.477,7.767,98.516,116.017,2.476,35.953,76.553,33.547,16.091,16.091,0.016,0.0,0.0,0.0,-9.554,0.0,-36.147,-33.49,-2.67,,3.904,-33.49,-29.159,12.942,0.0,18.159,20.848,-38.959,-38.959,0.0,-38.398,,4.459,3.727,-55.889,0.057,0.057,60.144,,0.0,-0.073,59.865,541890.0,286.6209,1626.0,541890.0,Other Services Related to Advertising 
7965,2000-12-31,00389Y205,7.0,5.0,,,,0.0,,0.0,0.0,,0.167,-0.02,0.0,0.516,10.825,16.86,0.021,0.284,0.651,0.0,10.987,10.987,0.001,0.0,3.009,0.0,0.0,0.0,-2.639,-2.632,-0.65,,0.0,0.0,-5.868,0.0,0.0,3.525,3.525,-5.868,-5.868,3.009,-5.868,,0.046,0.033,-9.561,0.0,0.0,7.3,,0.0,0.0,-2.804,339112.0,21.974,878.0,339112.0,Surgical and Medical Instrument Manufacturing 
3959,2016-12-31,00401C108,7.0,5.0,2016-12-31,2017-03-09,,0.0,-0.016,12.161,0.0,0.0,29.437,-18.473,29.437,49.43,516.936,295.893,17.254,206.402,310.406,248.257,37.998,37.998,0.004,0.0,0.0,0.0,0.0,0.0,117.615,126.783,3.64,-0.1,0.0,230.155,131.577,0.0,31.681,80.668,82.141,131.577,131.577,0.0,114.621,0.0,42.443,25.124,138.898,478.412,478.412,434.795,434.795,0.0,-16.956,381.707,334220.0,2346.3765,749.0,334220.0,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
