,IPO name,ticker,CUSIP,Date of IPO,IS_SPAC
60,Churchill Capital Corp II,CCXU,17143G205,7/1/2019,True
61,Pivotal Investment Corp II,PICU,72582K209,7/16/2019,True
62,Tuscan Holdings Corp II,THCAU,90070A202,7/16/2019,True
63,Conyers Pk II Acq Corp,CPAA.,212894208,7/14/2016,True
64,Switchback Energy Acq Corp,SBE.U,87105M201,7/30/2019,True
65,Orisun Acquisition Corp,ORSNU,68632T208,8/6/2019,True
66,New Providence Acquisition,NPAUU,64822P205,9/13/2019,True
67,Experience Investment Corp,EXPCU,30217C208,9/17/2019,True
68,Apex Technology Acquisition,APXTU,03768F201,9/19/2019,True
69,Finserv Acq Corp,FSRVU,318085206,11/5/2019,True
70,Osprey Tech Acq Corp,SFTW.,68839R401,11/5/2019,True
71,Merida Merger Corp I,MCMJU,58953M205,11/7/2019,True
72,LGL Systems Acquisition Corp,DFNSU,50201G205,11/12/2019,True
73,Juniper Industrial Hldg Inc,JIH U,48205G205,11/13/2019,True
74,Stable Road Acquisition Corp,SRACU,85236Q208,11/13/2019,True
75,Greenvision Acq Corp.,GRNVU,39678G202,11/21/2019,True
76,Amplitude Healthcare,AMHCU,03212A204,11/22/2019,True
77,Software Acq Grp Inc,SAQNU,83406B200,11/22/2019,True
78,CHP Merger Corp,CHPMU,12558Y205,11/26/2019,True
79,PropTech Acquisition Corp,PTACU,74349F200,11/26/2019,True
80,LIV Capital Acquisition Corp,LIVKU,G5510C124,12/13/2019,True
81,CIIG Merger Corp,CIICU,12559C202,12/17/2019,True
82,Healthcare Merger Corp,HCCOU,42227L201,12/17/2019,True
83,CITIC Capital Acquisition Corp,CCAC.,G21513125,2/10/2020,True
84,Greenrose Acq Corp,GNRSU,395392202,2/13/2020,True
85,Churchill Capital Corp III,CCXX.,17144C203,2/19/2020,True
86,Dmy Tech Grp Inc,DMYT,233253202,2/20/2020,True
87,Flying Eagle Acq Corp,FEAC.,34407Y202,3/5/2020,True
88,Lifesci Acq Corp,LSACU,53228P208,3/10/2020,True
89,DFP Healthcare Acqs Corp,DFPHU,23343Q209,3/13/2020,True
90,Fortress Value Acquisition,FVAC,34962V205,5/4/2020,True
91,Collective Growth Corp,CGROU,19424L200,5/5/2020,True
92,Roth CH Acquisition I Co,ROCHU,778675207,5/7/2020,True
93,Live Oak Acquisition Corp,LOAK.,53804F202,5/8/2020,True
94,Gigcapital3 Inc,GIK.U,37519D206,5/15/2020,True
95,Novus Capital Corp,NOVSU,67012U207,5/19/2020,True
96,B Riley Principal Merger II,BMRG,05600U205,5/22/2020,True
97,Longview Acquisition Corp,LGVW,543195200,5/26/2020,True
98,Foley Trasimene Acquisition,WPF.U,34431F203,5/29/2020,True
99,Mtn Crest Acq Corp,MCACU,62401M205,6/9/2020,True
100,Hudson Executive Invest Corp,HECCU,443761200,6/11/2020,True
101,Trebia Acquisition Corp,TREB.,G9027T125,6/19/2020,True
102,Brilliant Acq Corp,BRLIU,G1643W103,6/26/2020,True
103,Fusion Acquisition Corp,FUSE.,36118H204,6/30/2020,True
104,Kensington Capital Acq Corp,KCAC.,490073202,6/30/2020,True
105,Panacea Acquisition Corp,PANA,698102209,7/1/2020,True
106,Capstar Special Purpose,CPSR.,14070Y200,7/7/2020,True
107,PTK Acquisition Corp,PTK.U,69375F207,7/15/2020,True
108,Artius Acq Inc,AACQU,04316G204,7/16/2020,True
109,HPX Corp,HPX.U,G32219118,7/15/2020,True
110,Deerfield Healthcare Tech,DFHTU,244413209,7/21/2020,True
111,Pershing Sq Tontine Hldg Ltd,PSTH,71531R208,7/24/2020,True
112,Property Solutions Acq Corp,PSACU,74348Q207,7/24/2020,True
113,East Resources Acquisition Co,ERESU,274681204,7/27/2020,True
114,Greencity Acquisition Corp,GRCYU,G4086B115,7/23/2020,True
115,Churchill Capital Corp IV,CCIV,171439201,7/30/2020,True
116,CC Neuberger Principal Hldg,PRPB,G3166T129,7/31/2020,True
117,E.Merge Tech Acq Corp,ETACU,26873Y203,7/30/2020,True
118,Newhold Investment Corp,NHICU,651448201,7/30/2020,True
119,Yucaipa Acquisition Corp,YAC.U,G9879L121,8/6/2020,True
120,BowX Acquisition Corp,BOWXU,103085205,8/7/2020,True
121,Holicity Inc,HOLUU,435063201,8/7/2020,True
122,GO Acquisition Corp,GOAC,362019200,8/4/2020,True
123,Gores Holdings V Inc,GRSVU,382864205,8/5/2020,True
124,Vistas Media Acq Co Inc,VMACU,92840T206,8/7/2020,True
125,Fortress Value Acq Corp II,FAII.,349642207,8/11/2020,True
126,Redball Acquisition Corp,RBAC,G7417R121,8/12/2020,True
127,Lionheart Acquisition Corp II,LCAPU,53625R203,8/13/2020,True
128,dMY Technology Group II Inc,DMYD,233277201,8/14/2020,True
129,Northern Genesis Acq Corp,NGA U,66516T203,8/17/2020,True
130,Star Peak Energy Transition,STPK,855185203,8/17/2020,True
131,Foley Trasimene Acq Corp II,BFT.U,344328208,8/18/2020,True
132,Forum Merger III Corp,FIIIU,349885202,8/18/2020,True
133,FAST Acquisition Corp,FST.U,311875207,8/20/2020,True
134,Burgundy Tech Acq Corp,BTAQU,G1702T132,8/26/2020,True
135,CF Finance Acquisition Corp II,CFIIU,15725Q203,8/27/2020,True
136,CM Life Sciences Inc,CMLFU,18978W208,9/1/2020,True
137,INSU Acquisition Corp II,INAQU,457821304,9/2/2020,True
138,HighCape Capital Acq Corp,CAPAU,42984L204,9/3/2020,True
139,Tailwind Acquisition Corp,TWND,87403Q201,9/3/2020,True
140,Cohn Robbins Holdings Corp,CRHC,G23726121,9/8/2020,True
141,Industrial Tech Acquisitions,ITACU,456357201,9/8/2020,True
142,NavSight Holdings Inc,NSH U,639358209,9/9/2020,True
143,Prime Impact Acquisition I,PIAI,G61074111,9/10/2020,True
144,Starboard Value Acq Corp,SVACU,85521J208,9/10/2020,True
145,Broadstone Acquisition,BSN.U,G1739V118,9/11/2020,True
146,"Ribbit LEAP, Ltd",LEAP,G7552B121,9/11/2020,True
147,TWC Tech Holdings II Corp,TWCTU,90117G204,9/10/2020,True
148,Sandbridge Acquisition Corp,SBG U,799793203,9/15/2020,True
149,Equity Distribution Acq Corp,EQD U,29465E205,9/16/2020,True
150,Executive Network Partnering,ENPC,30158L209,9/16/2020,True
151,ACON S2 Acquisition Corp,STWOU,G00748122,9/17/2020,True
152,Oaktree Acquisition Corp II,OACB,G6715X129,9/16/2020,True
153,Alpha Healthcare Acq Corp,AHACU,020751202,9/17/2020,True
154,North Mountain Merger Corp,NMMCU,661204206,9/18/2020,True
155,Falcon Capital Acq Corp,FCACU,30606L207,9/21/2020,True
156,PMV Consumer Acquisition Corp,PMVC,693486201,9/21/2020,True
157,Fintech Acquisition Corp IV,FTIVU,31810N302,9/24/2020,True
158,Climate Change Crisis Real,CLII,18716C209,9/29/2020,True
159,FG New America Acq Corp,FGNA.,30259V205,9/29/2020,True
160,Vesper Healthcare Acq Corp,VSPRU,92538T203,9/29/2020,True
161,AEA-Bridges Impact Corp,IMPX.,G01046120,10/1/2020,True
162,Ig Acquisition Corp,IGACU,449534205,9/30/2020,True
163,Recharge Acquisition Corp,RCHGU,756229209,9/30/2020,True
164,Apollo Strategic Growth,APSG,G0411R122,10/1/2020,True
165,Atlantic Avenue Acquisition,ASAQ.,04906P200,10/1/2020,True
166,Avanti Acq Corp,AVAN,G0682V117,10/1/2020,True
167,Sports Ent Acq Corp,SEAH.,84918M205,10/2/2020,True
168,Vy Global Growth,VYGG,G9444H126,10/2/2020,True
169,Firstmark Horizon Acq Corp,FMAC.,33765Y200,10/5/2020,True
170,Empower Ltd,EMPW,G3R39W128,10/7/2020,True
171,Montes Archimedes Acquisition,MAACU,612657205,10/7/2020,True
172,NextGen Acquisition Corp,NGACU,G65305115,10/6/2020,True
173,Petra Acquisition Inc,PAICU,716421201,10/8/2020,True
174,Landcadia Holdings III Inc,LCYAU,51476H209,10/8/2020,True
175,Motion Acquisition Corp,MOTNU,61980M206,10/15/2020,True
176,Spartacus Acq Corp,TMTSU,84677L208,10/15/2020,True
177,Bridgetown Holdings Ltd,BTWNU,G1355U105,10/16/2020,True
178,Turmeric Acquisition Corp,TMPMU,G9127T116,10/15/2020,True
179,Decarbonization Plus Acq Corp,DCRBU,242797207,10/19/2020,True
180,Good Works Acquisition Corp,GWACU,38216X206,10/20/2020,True
181,Horizon Acquisition Corp II,HZON.,G46044122,10/19/2020,True
182,DPCM Capital Inc,XPOA.,23344P200,10/21/2020,True
183,HIG Acquisition Corp,HIGA.,G44898115,10/20/2020,True
184,Lefteris Acquisition Corp,LFTRU,52470X208,10/20/2020,True
185,Supernova Partners Acq Co Inc,SPNV.,86846V207,10/20/2020,True
186,Rice Acquisition Corp,RICE,762594208,10/21/2020,True
187,Tekkorp Digital Acquisition,TEKKU,G8739H122,10/21/2020,True
188,Yellowstone Acquisition Co,YSACU,98566K204,10/21/2020,True
189,Altimar Acquisition Corp,ATAC,G03707125,10/22/2020,True
190,Eucrates Biomedical Acquisitio,EUCRU,G3141W114,10/23/2020,True
191,Lux Health Tech Acq Corp,LUXAU,55068A209,10/26/2020,True
192,Atlas Crest Investment Corp,ACICU,049284201,10/27/2020,True
193,Bluescape Opportunities Acq,BOAC.,G1195N121,10/27/2020,True
194,Mallard Acquisition Corp,MACUU,561204207,10/27/2020,True
195,Duddell St Acq Corp,DSACU,G28553124,10/28/2020,True
196,CONX Corp.,CONXU,212873202,10/29/2020,True
197,New Beginnings Acq Corp,NBA.U,64222H209,10/29/2020,True
198,Roman DBDR Tech Acq Corp,DBDRU,77584N200,11/6/2020,True
199,TS Innovation Acqs Corp,TSIAU,87284T209,11/9/2020,True
200,Natural Order Acquisition Corp,NOACU,63889L206,11/10/2020,True
201,Northern Star Acquisition Corp,STIC.,665742201,11/10/2020,True
202,Better World Acquisition Corp,BWACU,08772B203,11/12/2020,True
203,CF Finance Acq Corp III,CFACU,12529D207,11/12/2020,True
204,Health Assurance Acquisition,HAACU,42226W208,11/12/2020,True
205,OTR Acquisition Corp,OTRAU,67113Q204,11/17/2020,True
206,Pine Island Acq Corp,PIPP,722615200,11/16/2020,True
207,Zanite Acquisition Corp,ZNTEU,98907K202,11/16/2020,True
208,Population Health Invest Co,PHICU,G71716123,11/18/2020,True
209,Investindustrial Acq Corp,IIAC,G4771L121,11/18/2020,True
210,L&F Acquisition Corp,LNFA,G53702125,11/18/2020,True
211,Aequi Acquisition Corp,ARBGU,00775W201,11/19/2020,True
212,Cascade Acquisition Corp,CASU,147151203,11/19/2020,True
213,Kingswood Acquisition Corp,KWAC.,496861204,11/19/2020,True
214,Omnichannel Acquisition Corp,OCA U,68218L207,11/20/2020,True
215,Breeze Hldg Acq Corp,BREZU,106762206,11/23/2020,True
216,10X Capital Venture Acq Corp,VCVCU,88025V206,11/24/2020,True
217,Tiga Acquisition Corp,TINV,G88672129,11/23/2020,True
218,Forest Road Acquisition Corp,FRX.U,34619R201,11/24/2020,True
219,Spartan Acquisition Corp II,SPRQ,846775203,11/24/2020,True
220,Seaport Global Acquisition,SGAMU,812227205,11/30/2020,True
221,Capitol Investment Corp V,CAP.U,14064F209,12/2/2020,True
222,Rodgers Silicon Valley Acq,RSVAU,774873202,12/2/2020,True
223,Trepont Acquisition Corp I,TACA.,G9095M119,12/1/2020,True
224,Far Peak Acquisition Corp,FPAC.,G3312L129,12/2/2020,True
225,Highland Transcend Partners I,HTPA.,G44690116,12/2/2020,True
226,Live Oak Acquisition Corp II,LOKB.,53804W205,12/2/2020,True
227,Fintech Acq Corp V,FTCVU,31810Q305,12/3/2020,True
228,PropTech Invest Corp II,PTICU,743497208,12/3/2020,True
229,Concord Acquisition Corp,CND.U,206071201,12/7/2020,True
230,DD3 Acquisition Corp II,DDMXU,23318M209,10/16/2018,True
231,Mudrick Capital Acq Corp II,MUDSU,62477L206,2/12/2018,True
232,Revolution Acceleration Acq,RAACU,76156P205,12/7/2020,True
233,Altitude Acquisition Corp,ALTUU,02156Y202,12/8/2020,True
234,Frazier Lifesciences,FLACU,G3710A121,12/9/2020,True
235,HumanCo Acquisition Corp,HMCOU,44487N208,12/8/2020,True
236,Nebula Caravel Acq Corp,NEBCU,629070202,12/8/2020,True
237,Carney Tech Acq Corp II,CTAQU,143636207,12/9/2020,True
238,Periphas Capital Partnering Co,PCPCU,713895209,12/9/2020,True
239,RMG Acquisition Corp II,RMGBU,G76083115,12/10/2020,True
240,CBRE Acquisition Holdings Inc,CBAHU,12510J205,12/11/2020,True
241,Delwinds Ins Acq Corp,DWIN.,24803C201,12/10/2020,True
242,EdtechX Hldg Acq Corp II,EDTXU,28139A201,10/10/2018,True
243,Globis Acquisition Corp,GLAQU,379582208,12/10/2020,True
244,Gores Holdings VI Inc,GHVIU,38286R204,12/10/2020,True
245,Motive Capital Corp,MOTV.,G6293A129,12/10/2020,True
246,Roth Ch Acquisition II Co,ROCC,778673202,12/10/2020,True
247,Senior Connect Acq Corp I,SNRHU,81723H207,12/10/2020,True
248,Thayer Ventures Acquisition,TVACU,88332T209,12/10/2020,True
249,Americas Tech Acq Corp,ATA.U,G0404A128,12/15/2020,True
250,Blue Water Acquisition Corp,BLUWU,09607T203,12/15/2020,True
251,Kins Technology Group Inc,KINZU,49714K208,12/15/2020,True
252,Marquee Raine Acquisition Corp,MRACU,G58442115,12/2/2020,True
253,Churchill Capital Corp V,CCV.U,17144T206,12/15/2020,True
254,Corner Growth Acquisition Corp,COOLU,G2425N121,12/16/2020,True
255,ScION Tech Growth I,SCOAU,G31067120,12/16/2020,True
256,Dune Acquisition Corp,DUNEU,265334201,12/17/2020,True
257,INSU Acquisition Corp III,IIIIU,457817302,12/17/2020,True
258,MedTech Acquisition Corporatio,MTACU,58507N204,12/17/2020,True
259,Seven Oaks Acquisition Corp.,SVOKU,81787X205,12/17/2020,True
260,Ackrell SPAC Partners I,ACKIU,00461L204,12/21/2020,True
261,Healthcare Services,HCARU,42227K203,12/22/2020,True
262,7GC & Co Holdings Inc,VIIU,81786A206,12/22/2020,True
263,CF Acquisition Corp. IV,CFIVU,12520T201,12/22/2020,True
264,Viveon Health Acquisition Corp,VHAQ.,92853V205,12/23/2020,True
265,Ventoux CCM Acquisition Corp.,VTAQU,92280L200,12/23/2020,True
266,Crucible Acquisition Corp,CRU.U,22877P207,1/5/2021,True
267,Fortress Value Acq Corp III,FVT.U,34964G206,1/4/2021,True
268,Poema Global Hldg Corp,PPGHU,G7154B123,1/6/2021,True
269,Star Peak Corp II,STPCU,855179206,1/5/2021,True
270,Bright Lights Acq Corp,BLTSU,10920K200,1/5/2021,True
271,Ivanhoe Capital Acq Corp,IVANU,G4R87P122,1/6/2021,True
272,KludeIn I Acquisition Corp,INKAU,49878L208,1/11/2021,True
273,Vectoiq Acq Corp Ii,VTIQU,92244F208,1/6/2021,True
274,Vickers Vantage Corp I,VCKAU,G9440B123,1/6/2021,True
275,Empowerment & Inclusion,EPWRU,29248N209,1/7/2021,True
276,Epiphany Tech Acq Corp,EPHYU,29429X208,1/7/2021,True
277,Global Synergy Acq Corp,GSAQU,G3934J114,1/7/2021,True
278,KL Acquisition Corp,KLAQU,49837C208,1/7/2021,True
279,Leo Holdings Corp. II,LHC.U,G5463R110,1/7/2021,True
280,Lightjump Acquisition Corp,LJAQU,53228M205,1/8/2021,True
281,Locust Walk Acquisition Corp,LWACU,54015L301,1/7/2021,True
282,Mountain Crest Acq Corp II,MCADU,62402D204,1/7/2021,True
283,Pioneer Merger Corp,PACXU,G7S24C129,1/7/2021,True
284,Powered Brands,POWRU,G7209M124,1/7/2021,True
285,Prospector Capital Corp,PRSRU,G7273A121,1/7/2021,True
286,Provident Acquisition Corp,PAQCU,G7282L118,1/7/2021,True
287,SVF Investment Corp,SVFAU,G8601L110,1/7/2021,True
288,Switchback II Corp,SWBKU,G8633T123,1/7/2021,True
289,Tastemaker Acquisition Corp,TMKRU,876545203,1/8/2021,True
290,890 5th Avenue Partners Inc,ENFAU,28250A204,1/11/2021,True
291,Adit EdTech Acquisition Corp,ADEX.,007024201,1/11/2021,True
292,Athlon Acquisition Corp,SWETU,04748A205,1/11/2021,True
293,Big Cypress Acquisition Corp,BCYPU,089115208,1/11/2021,True
294,Global Partner Acq Corp II,GPACU,G3934P110,1/11/2021,True
295,Deep Lake Capital Acq Corp,DLCAU,G27029126,1/12/2021,True
296,Fortress Capital Acq Corp,FCAXU,G36427113,1/13/2021,True
297,Hamilton Lane Alliance Hldg I,HLAHU,40749M202,1/12/2021,True
298,Marlin Technology Corp,FINMU,G58411128,1/12/2021,True
299,Northern Genesis Acq Corp II,NGAB.,66516U200,1/12/2021,True
300,Pontem Corp,PNTM.,G71707114,1/13/2021,True
301,Environmental Impact Acq Corp,ENVIU,29408N205,1/13/2021,True
302,Monument Circle Acq Corp,MONCU,61531M200,1/14/2021,True
303,Silver Crest Acquisition,SLCRU,G81355110,1/13/2021,True
304,26 Capital Acquisition Corp,ADERU,90138P209,1/14/2021,True
305,Authentic Equity Acq Corp,AEACU,G06607116,1/14/2021,True
306,Class Acceleration Corp,CLAS.,18274B205,1/14/2021,True
307,Edify Acquisition Corp,EACPU,28059Q202,1/14/2021,True
308,Group Nine Acquisition Corp,GNACU,39947R203,1/15/2021,True
309,Healthcare Capital Corp,HCCCU,42228C200,1/14/2021,True
310,Hennessy Capital Investment V,HCICU,42589T206,1/14/2021,True
311,OCA Acquisition Corp,OCAXU,670865203,1/14/2021,True
312,Rotor Acquisition Corp,ROTU,77879W204,1/14/2021,True
313,FoxWayne Enterprises Acq Corp,FOXWU,35166L208,1/19/2021,True
314,Gores Metropoulos II Inc,GMIIU,382873206,1/19/2021,True
315,Legato Merger Corp,LEGOU,52473X205,1/19/2021,True
316,Queens Gambit Growth Capital,GMBTU,G7315C127,1/19/2021,True
317,TZP Strategies Acq Corp,TZPSU,69242M203,1/19/2021,True
318,European Sustainable Growth,EUSGU,G3194F125,1/21/2021,True
319,Jack Creek Investment Corp,JCICU,G4989X107,1/21/2021,True
320,Liberty Media Acq Corp,LMACU,53073L203,1/21/2021,True
321,N Atlantic Acq Corp,NAACU,G66139117,1/22/2021,True
322,One Eq Partners Open Water I,OEPWU,68237L204,1/21/2021,True
323,Primavera Capital Acq Corp,PV.U,G7255E125,1/21/2021,True
324,SCP & CO Healthcare Acq Co,SHACU,784065203,1/20/2021,True
325,Virtuoso Acq Corp,VOSOU,92837J203,1/21/2021,True
326,Biotech Acq Co,BIOTU,G1125A124,1/25/2021,True
327,D & Z Media Acquisition Corp,DNZ.U,23305Q205,1/26/2021,True
328,DiamondHead Holdings Corp,DHHCU,25278L204,1/24/2021,True
329,Hudson Exec Invest Corp II,HCIIU,443760202,1/26/2021,True
330,LMF Acquisition Opportunities,LMAO.,502015209,1/25/2021,True
331,Nrthn Star Invest Corp II,NSTB.,66573W206,1/25/2021,True
332,Science Strategic Acq Corp,SSAA.,808641203,1/25/2021,True
333,Ca Healthcare Acquisition Corp,CAHCU,12510W206,1/26/2021,True
334,Climate Real Impact Solut II,CLIM.,187171202,1/26/2021,True
335,Constellation Acq Corp I,CSTA.,G2R18K121,1/26/2021,True
336,Fortistar Sustainable,FSSIU,34962M205,1/26/2021,True
337,Ignyte Acquisition Corp,IGNYU,45175H205,1/27/2021,True
338,Ithax Acquisition Corp,ITHXU,G49775110,1/27/2021,True
339,TLG Acquisition One Corp,TLGA.,87257M207,1/27/2021,True
340,BlueRiver Acquisition Corp,BLUA.,G1261Q123,1/28/2021,True
341,Brookline Capital Acq Corp,BCACU,11374E203,6/23/2017,True
342,CF Acquisition Corp V,CFFVU,12520R205,1/28/2021,True
343,Clarim Acquisition Corp,CLRMU,18049C207,1/28/2021,True
344,EQ Health Acquisition Corp,EQHA.,26886A200,1/29/2021,True
345,Growth Capital Acq Corp,GCACU,39986V206,1/29/2021,True
346,Mason Industrial Tech Inc,MIT.U,57520Y205,1/28/2021,True
347,Z-Work Acquisition Corp,ZWRKU,98880C201,1/28/2021,True
348,Ares Acquisition Corp,AAC.U,G33032114,2/1/2021,True
349,Jaws Mustang Acquisition Corp,JWSM.,G50737116,2/2/2021,True
350,MDH Acquisition Corp,MDH.U,55283P205,2/1/2021,True
351,Noble Rock Acquisition Corp,NRACU,G6546R127,2/1/2021,True
352,Thimble Point Acquisition Corp,THMAU,88408P206,2/1/2021,True
353,CC Neuberger Principal III,PRPC.,G1992N118,2/2/2021,True
354,Gaming & Hospity Acq Corp,GHACU,364681205,2/2/2021,True
355,Kernel Grp Hldg Inc,KRNLU,G5259L111,2/2/2021,True
356,Music Acquisition Corp,TMAC.,62752R209,2/2/2021,True
357,Astrea Acquisition Corp,ASAXU,04637C205,2/3/2021,True
358,Atlas Crest Investment Corp II,ACII.,049287204,2/3/2021,True
359,Centricus Acquisition Corp,CENHU,G2072Q112,2/3/2021,True
360,Decarbonization Plus,DCRNU,242794204,2/3/2021,True
361,Itiquira Acquisition Corp,ITQRU,G49773123,2/3/2021,True
362,Novus Capital Corp II,NXU.U,67012W203,2/3/2021,True
363,Altimar Acquisition Corp II,ATMRU,G03709113,2/4/2021,True
364,Ark Global Acquisition Corp,ARKIU,66981N202,2/5/2021,True
365,COVA Acquisition Corp,COVAU,G2554Y112,2/4/2021,True
366,Compute Health Acq Corp,CPUH.,204833206,2/4/2021,True
367,G Squared Ascend I Inc,GSQD.,G4204R125,2/4/2021,True
368,HH&L Acquisition Co,HHLA.,G39714111,2/4/2021,True
369,JOFF Fintech Acquisition Corp,JOFFU,46592C209,2/4/2021,True
370,Quantum FinTech Acquisition,QFTA.,74767A204,2/4/2021,True
371,RMG Acquisition Corp III,RMGCU,G76088114,2/4/2021,True
372,Sustainable Dvlp Acq I Corp,SDACU,86934L202,2/4/2021,True
373,Adara Acquisition Corp,ADRA.,00653H201,2/8/2021,True
374,Crown PropTech Acquisitions,CPTK.,G25741128,2/8/2021,True
375,ECP Envi Growth Opportunities,ENNVU,26829T209,2/8/2021,True
376,Evo Acq Corp,EVOJU,30052G207,2/8/2021,True
377,GigCapital4 Inc,GIGGU,37518G200,2/8/2021,True
378,Pivotal Investment Corp III,PICC.,72582M205,2/8/2021,True
379,Priveterra Acquisition Corp,PMGMU,74275N201,2/8/2021,True
380,Progress Acquisition Corp,PGRWU,74327P204,2/5/2021,True
381,Spartan Acquisition Corp III,SPAQ.,84677R205,2/8/2021,True
382,Venus Acquisition Corp,VENAU,G9420F136,2/8/2021,True
383,Apollo Strategic Growth II,APGB.,G0412A110,2/9/2021,True
384,Foresight Acquisition Corp,FOREU,34552Y205,2/9/2021,True
385,Lazard Growth Acq Corp I,LGACU,G54035129,2/9/2021,True
386,Power & Digital,XPDIU,739190205,2/9/2021,True
387,ScION Tech Growth II,SCOBU,G31070124,2/9/2021,True
388,Goal Acquisitions Corp,PUCKU,38021H206,2/10/2021,True
389,Ion Acq Corp 2 Ltd,IACB.,G49393120,2/10/2021,True
390,Bite Acquisition Corp,BITE.,09175K204,2/11/2021,True
391,Broadscale Acquisition Corp,SCLEU,11134Y200,2/11/2021,True
392,Catcha Invest Corp,CHAA.,G1962Y128,2/11/2021,True
393,Churchill Capital Corp VI,CCVI.,17143W200,2/12/2021,True
394,Churchill Capital Corp VII,CVII.,17144M201,2/12/2021,True
395,Rosecliff Acquisition Corp I,RCLFU,77732R202,2/11/2021,True
396,Social Leverage Acquisition,SLAC.,83363K201,2/11/2021,True
397,Tishman Speyer Innovation II,TSIBU,88825H209,2/11/2021,True
398,Tuatara Capital Acquisition,TCACU,G9118J127,2/11/2021,True
399,Medicus Sciences Acq Corp,MSACU,G5960S116,2/16/2021,True
