,offer date,IPO name,CUSIP
286,05/12/1981,INTERFERON SCIENCES,45890310
287,05/12/1981,INTERPHARM LABS,46059010
288,05/12/1981,IPL SYSTEMS,44981310
289,05/12/1981,READING AVIATION,75530710
290,05/13/1981,CABLE TV INDUSTRIES,12690410
291,05/13/1981,INPUT BUSINESS MACH'S,45790410
292,05/13/1981,MOUNTAIN MEDICAL EQUIP,62422010
293,05/13/1981,NOVAR ELECTRONICS,66987610
294,05/14/1981,ASTRO DRILLING,04590010
295,05/14/1981,THORATEC LABS,88517510
296,05/19/1981,SKIPPER'S,83071510
297,05/20/1981,BALCO ENERGY,05790110
298,05/22/1981,SEVEN OAKS INT'L,81787510
299,05/27/1981,RIBI IMMUNOCHEM,76255310
300,05/28/1981,CIBOLA ENERGY,17163310
301,05/28/1981,ULTRA-SYSTEMS,90403010
302,05/28/1981,UNITEL VIDEO,91325310
303,06/02/1981,BARTON VALVE,06957610
304,06/02/1981,DETECTOR ELECTRONICS,25065710
305,06/04/1981,BONRAY DRILLING,09852310
306,06/04/1981,KIMBARK OIL & GAS,49435510
307,06/09/1981,L.B. FOSTER,35006010
308,06/09/1981,LIZ CLAIBORNE,53932010
309,06/09/1981,SOFTWARE AG,83402410
310,06/11/1981,DREYER'S ICE CREAM,26187810
311,06/12/1981,S.A.L. CABLE COMMUNIC.,78390310
312,06/17/1981,GEOPHYSICAL SYSTEMS,37247410
313,06/17/1981,KLOSS VIDEO,49875410
314,06/18/1981,ALPHA MICROSYSTEMS,02090310
315,06/18/1981,OCILLA INDUSTRIES,67555910
316,06/19/1981,KYLE TECHNOLOGY,50155110
317,06/19/1981,MICOM SYSTEMS,59478710
318,06/23/1981,FAFCO,30239010
319,06/23/1981,FIRST MATAGORDA,32090310
320,06/24/1981,ROLFITE COMPANY,77551210
321,06/24/1981,TEMPLETON ENERGY,88019410
322,06/25/1981,UNITED MEDICAL,91084410
323,06/30/1981,HBO & COMPANY,40410010
324,07/01/1981,ALLEGHENY & WESTERN,01722710
325,07/01/1981,KELLY-JOHNSTON ENTERPR,48811910
326,07/01/1981,LIEBERT,53173510
327,07/02/1981,ZONIC,98990610
328,07/09/1981,UNIVERSAL HEALTH SVCS.,91390310
329,07/14/1981,ODETICS,67606510
330,07/16/1981,COMAIR,19978910
331,07/16/1981,OMNICARE,68190410
332,07/22/1981,AMPLICA,03209810
333,07/22/1981,COMTEX SCIENTIFIC,20591410
334,07/24/1981,BIOSEARCH MEDICAL,09066010
335,07/28/1981,BEDFORD COMPUTER,07603710
336,07/28/1981,GREAT EASTERN ENERGY,39032310
337,07/29/1981,ICO,44929410
338,07/30/1981,SEIS PROS,81606410
339,08/04/1981,MONOCLONAL ANTIBODIES,60975510
340,08/05/1981,GEOPHYSICAL FIELD SURV,37291410
341,08/05/1981,PACO PHARMACEUTICAL SERV,69523410
342,08/05/1981,PANSOPHIC SYSTEMS,69863110
343,08/06/1981,TECHAMERICA GROUP,87831510
344,08/12/1981,SYSTEMATICS,87190410
345,08/13/1981,BELL PETROLEUM,07814410
346,08/18/1981,GREAT OUTDOOR AM ADVEN,39114410
347,08/18/1981,SOUTHERN MEDIC & PHARM,84333710
348,08/19/1981,INTEGRITY FIN'L GROUP,45790610
349,08/27/1981,NCA,62878710
350,08/27/1981,SOFTECH,83402110
351,09/01/1981,JEFFERSON-WILLIAMS,47549110
352,09/01/1981,STAN WEST MINING,85285810
353,09/02/1981,BOLT TECHNOLOGY,09769810
354,09/10/1981,CARDILLO TRAVEL SYSTMS,14147610
355,09/15/1981,DATA MEASUREMENT,23790310
356,09/17/1981,PRAB ROBOTS,73941310
357,09/22/1981,HOME DEPOT,43707610
358,09/22/1981,SWITCHCO,87104710
359,09/23/1981,CYCARE SYSTEMS,23290210
360,09/24/1981,SEAGATE TECHNOLOGY,81180410
361,10/01/1981,ASK COMPUTER SYSTEMS,00190310
362,10/02/1981,CORVUS SYSTEMS,22101610
363,10/06/1981,CIPHER DATA PRODUCTS,17252810
364,10/14/1981,RIO GRANDE DRILLING,76709410
365,10/14/1981,VECTOR GRAPHIC,92239410
366,10/15/1981,CARL KARCHER,48563610
367,10/15/1981,PIZZA VENTURES,72590110
368,10/15/1981,SIPPICAN OCEAN SYSTEMS,82990210
369,10/16/1981,GARCIA'S OF SCOTTSDALE,36485010
370,10/20/1981,INSITUFORM EAST,45766210
371,10/21/1981,DATAPOWER,23810210
372,10/22/1981,INT'L GAME TECHNOLOGY,45990210
373,10/23/1981,COLLAGEN,19419410
374,10/23/1981,FONAR,34443710
375,10/23/1981,KENTUCKY HORSE CENTER,49130610
376,10/28/1981,HORNBECK OFFSHORE SVS,44054210
377,10/28/1981,HYBRITECH,44860710
378,10/28/1981,SEISDATA SERVICES,81607310
379,10/29/1981,DALE ELECTRONICS,23428210
380,10/29/1981,NAUGLE'S,63906810
381,10/29/1981,UNITED CABLE TV DENVER,90970010
382,10/30/1981,METRO AIRLINES,59190510
383,11/04/1981,COMPUTONE SYSTEMS,20491010
384,11/04/1981,GULF NUCLEAR,40243010
385,11/04/1981,INSTACOM,45774110
386,11/04/1981,PETROSYSTEMS,71691310
387,11/05/1981,BRACKEN EXPLORATION,10390110
388,11/05/1981,HINDERLITER ENRGY,43307810
389,11/10/1981,MONCHIK-WEBER,60919210
390,11/17/1981,COM SYSTEMS,19977310
391,11/17/1981,SYSCON,87183010
392,11/17/1981,VISUAL TECHNOLOGY,92845510
393,11/18/1981,COMMUNICATIONS SYSTEMS,20390010
394,11/19/1981,ALEXANDER ENERGY,01461710
395,11/24/1981,UNITED STATIONERS,91300410
396,11/25/1981,UNIMATION,90490110
397,12/02/1981,EIKONIX,28256010
398,12/08/1981,HEALTHDYNE,42220310
399,12/09/1981,A.H. BELO,08055510
400,12/09/1981,COMPUTER ASSOCIATES,20491210
401,12/09/1981,GANDALF TECHNOLOGY,36471710
402,12/09/1981,H&H OIL TOOL,40404010
403,12/10/1981,ADVANCED FUEL SYSTEMS,00690110
404,12/10/1981,AVIATION GROUP,05366410
405,12/10/1981,HEALTH CARE & RETIRMNT,42190110
406,12/15/1981,NUCLEAR SUPPORT SVS.,67030910
407,12/16/1981,POLICY MANAGEMENT SYS.,731108106
408,12/22/1981,SUMMIT OILFIELD,86620710
409,12/23/1981,ESSEX,296744105
410,12/23/1981,LEXIDATA,52887510
411,01/07/1982,COMPUTER MEMORIES,20491310
412,01/19/1982,ELAN PHARMACEUTICAL RESEARCH,28413210
413,01/21/1982,INT'L ROBOMATION,45990410
414,01/27/1982,GENERAL PRODUCTION,37052910
415,01/29/1982,CRIME CONTROL,22660810
416,01/29/1982,CSP INC,12638910
417,02/02/1982,LTX CORP,50239210
418,02/02/1982,TECH FOR COMM,87869010
419,02/04/1982,EMC INSURANCE,26866410
420,02/04/1982,VORTEC CORP,92904710
421,02/11/1982,COLLABORATIVE,19419210
422,03/03/1982,HOME HEALTH CARE,43713310
423,03/16/1982,KASLER CORP,48579510
424,03/30/1982,LAIDLAW IND,50730510
425,03/30/1982,SYNTREX INC,87162510
426,04/02/1982,CASTLE ENTERTAINMENT,14790010
427,04/06/1982,GODFATHERS PIZZA,38028910
428,04/06/1982,SPACE MICROWAVE,84616410
429,04/22/1982,COMPUTER INPUT,20514510
430,04/22/1982,REXON BUSINESS,76190110
431,04/22/1982,UNITED BANKERS,90956210
432,04/27/1982,DATASWITCH,23786310
433,04/30/1982,TCA CABLE TV,87224110
434,05/06/1982,COMMUN GROUP,20339510
435,05/18/1982,CONVERGENT TECH,21247910
436,05/25/1982,TECHNICOM INT'L,87854010
437,06/03/1982,BPI SYSTEMS,05590610
438,06/08/1982,DIAGNOSTIC PRODUCTS,25245010
439,06/10/1982,MOLECULAR GENETICS,60851910
440,06/29/1982,INTERMETRICS,45881610
441,07/08/1982,MULTI-TECH,62590410
442,07/08/1982,TERA CORP,88076710
443,07/13/1982,RYAN'S FAMILY,78351910
444,07/20/1982,SUPER SKY INT'L,86790610
445,07/21/1982,ATLANTIC SE AIR,04886910
446,07/29/1982,CPI CORP,12590210
447,08/05/1982,FOSTER MEDICAL,35012410
448,08/11/1982,ENVIRONMENTAL TESTING AND C,67083910
449,08/17/1982,ELECTRONIC MAIL CORP OF AMER,28574210
450,08/20/1982,UNIVERSAL MONEY,91375610
451,08/26/1982,VICORP RESTAURANTS,92581710
452,09/01/1982,FAMILY ENTERTAINMENT,30700410
453,09/02/1982,NORTH FORK Bancorporation,65942410
454,09/09/1982,ELECTRONIC THEATRE RESTAUR,28586510
455,09/15/1982,ELECTRONICS CORP OF ISRAEL,28607010
456,09/23/1982,PSYCH SYSTEMS,74437410
457,09/29/1982,GENEX CORP,37227510
458,09/29/1982,ON LINE SOFTWARE,68218010
459,09/29/1982,Rodime PLC,77487520
460,10/01/1982,BIOMET INC,09061310
461,10/07/1982,TANO CORP,87588610
462,10/15/1982,GOTT CORP,38348310
463,10/19/1982,INTECOM INC,45809810
464,10/26/1982,SIZZLER RESTAURANTS,83014010
465,10/29/1982,MERRIMAC INDUSTRIES,59026210
466,11/02/1982,SYSTEMS & COMPUTERS,87187310
467,11/04/1982,AARON RENTS,00253510
468,11/04/1982,ALTOS COMPUTERS,02206010
469,11/04/1982,Americana Hotels and Realty,
470,11/16/1982,TACO VIVA,87345010
471,11/18/1982,LEE DATA,52376310
472,11/26/1982,TRIANGLE MICROWAVE,895883106
473,11/29/1982,AREA COMMUNICATION,03987610
474,12/01/1982,PATIENT TECH,70321410
475,12/01/1982,QUALITY SYSTEMS,74758210
476,12/02/1982,ARGOSYSTEMS,04023910
477,12/03/1982,PAR TECHNOLOGY,69888410
478,12/07/1982,DIONEX CORP,25454610
479,12/07/1982,RAYMOND ENGINEERING,75470810
480,12/07/1982,UNITED ED AND SFTWRE,91020410
481,12/10/1982,HOGAN SYSTEMS,43460210
482,12/10/1982,QUANTUM CORP,74790610
483,12/14/1982,CENTOCOR INC,15234210
484,12/14/1982,GD RITZY'S,76801510
485,12/14/1982,NEWAIR FLIGHT,65018810
486,12/16/1982,GENERAL PHYSICS,37048510
487,12/16/1982,PERCEPTRONICS,71361110
488,12/17/1982,FN FINANCIA,30253110
489,12/17/1982,HARRIS & PAULSON,41383410
490,12/21/1982,PHARMACONTROL,71691010
491,12/21/1982,SIGMA RESEARCH,82690410
492,12/22/1982,BIOSTIM,09091310
493,12/22/1982,MGM/UA HOME ENTER,55290610
494,12/22/1982,PHOENIX AMERICAN,71880310
495,01/05/1983,LASER PHOTONICS,51790310
496,01/10/1983,THUNANDER CORP.,88602810
497,01/11/1983,MED-CHEM PRODUCTS,58491110
498,01/13/1983,QUALITY MICRO SYSTEMS,74790710
499,01/13/1983,SYNCOM INCORPORATED,87190720
500,01/18/1983,ALFACELL CORPORATED,01540420
501,01/20/1983,MID-STATE FEDERAL,59548210
502,01/20/1983,POREX TECHNOLOGY,73328010
503,01/21/1983,"COOPERVISION, INC.",21689510
504,01/26/1983,"ROYALE AIRLINES, INC.",78074810
505,01/27/1983,POLYMERIC RESOURCES,73178710
506,02/01/1983,COOK DATA SERVICES,21616010
507,02/01/1983,GALILEO ELECTRO-OPTIC,36354410
508,02/02/1983,ACS ENTERPRISES,00087220
509,02/02/1983,GUILFORD INDUSTRIES,40179110
510,02/02/1983,"U.S. TELEPHONE, INC.",91272010
511,02/09/1983,United States HEALTH CARE,91191010
512,02/10/1983,DIGITAL COMMUNICATIONS,25390210
513,02/10/1983,PEACHES ENTERTAINMENT,70465920
514,02/10/1983,REHAB HOSPITAL SERVICE,75914710
515,02/11/1983,ACCO WORLD CORPORATION,00433010
516,02/15/1983,FORTUNE FEDERAL,34965110
517,02/15/1983,"LASERTECHNICS, INC.",51808220
518,02/15/1983,"MOTO PHOTO, INC.",61982120
519,02/16/1983,SILICON VALLEY GROUP,82706610
520,02/18/1983,TIME ENERGY SYSTEMS,88716810
521,02/18/1983,URGENT CARE CENTERS,91724910
522,02/23/1983,CALIBRE CORPORATION,12989610
523,02/23/1983,"DIASONICS, INC.",25283610
524,02/24/1983,AMERICAN SOFTWARE,02968310
525,02/24/1983,DOUBLE R FAST FOOD,25859010
526,02/24/1983,FIRST FEDERAL,31991210
527,02/24/1983,FIRST MUTUAL,32090910
528,02/24/1983,TRANS WORLD AIRLINES,89334960
529,02/24/1983,VIDEO CONNECTION,92654110
530,02/24/1983,VLSI TECHNOLOGY,91827010
531,02/25/1983,AMERICA WEST AIR,02365010
532,03/01/1983,AUTOMATIX INCORPORATED,05327110
533,03/01/1983,BURNHAM SERVICE,12232110
534,03/01/1983,COMBUSTION PROTECTION,
535,03/01/1983,XEBEC,98388910
536,03/02/1983,FAMILY SHOWTIME,30705620
537,03/02/1983,"THE MPSI GROUP, INC.",55341210
538,03/03/1983,APOLLO COMPUTER,03790410
539,03/04/1983,FORTUNE SYSTEMS,34968910
540,03/04/1983,INFORMATION RESOURCES,45690510
541,03/04/1983,NEW HAMPSHIRE SAVINGS,64467010
542,03/09/1983,INT'L LEASE FINANCE,45974510
543,03/09/1983,MERCHANTS SAVINGS,58922010
544,03/10/1983,C.C.R. VIDEO,12500210
545,03/10/1983,CONTINENTAL FEDERAL,21139010
546,03/10/1983,"FLOW SYSTEMS, INC.",34347110
547,03/10/1983,LOCAL FEDERAL S&L,53954510
548,03/11/1983,LO-JACK CORPORATION,
549,03/11/1983,WASHINGTON MUTUAL,93933410
550,03/15/1983,COMCAST CABLEVSN OF PH,20029910
551,03/15/1983,PENTA SYSTEMS,70961810
552,03/15/1983,TELEVIDEO SYSTEMS,87991310
553,03/16/1983,BR COMMUNICATIONS,05591110
554,03/16/1983,DST SYSTEMS,233325109
555,03/16/1983,SCAN-TRON CORP.,80589710
556,03/16/1983,SOVEREIGN THOROBRED.,84610310
557,03/17/1983,COM VU CORPORATION,19978510
558,03/17/1983,PANATECH RES. & DEV.,69830110
