,Unnamed: 0,offer date,IPO name,CUSIP,SPAC IPO 
219,222,01/29/1981,SILICON SYSTEMS,082705810,0
220,223,02/03/1981,ENTERPRISE RADIO,029379510,0
221,224,02/03/1981,VERNA,092430010,0
222,225,02/04/1981,SOUTH TEXAS DRILLING,084055310,0
223,226,02/05/1981,INTER-TEL,045837210,0
224,227,02/05/1981,RENAL DEVICES,075990610,0
225,228,02/11/1981,TANDON,087537710,0
226,229,02/17/1981,SCIENTIFIC LEASING,080876110,0
227,230,02/18/1981,ELECTRO-BIOLOGY,028506010,0
228,231,02/18/1981,FUNDSNET,036086810,0
229,232,02/20/1981,NEW YORK AIR,064934310,0
230,233,02/24/1981,NAHAMA & WEAGANT,062977510,0
231,234,02/26/1981,C-COR ELECTRONICS,012501010,0
232,235,02/26/1981,WILLIAMS ELECTRONICS,096990110,0
233,236,03/04/1981,CONSOLIDATED PETROLEUM,020978010,0
234,237,03/05/1981,AUTOCLAVE ENGINEERS,005276010,0
235,238,03/06/1981,CETUS,015719910,0
236,239,03/17/1981,DELTA DRILLING,024783610,0
237,240,03/17/1981,SAGE DRILLING,078662710,0
238,241,03/18/1981,TIMES FIBER,088735510,0
239,242,03/19/1981,OBJECT RECOGNITION,067441910,0
240,243,03/24/1981,DURALITH,026634010,0
241,244,03/24/1981,HEI,040416010,0
242,245,03/24/1981,INT'L INSTITUTE (MED),045969510,0
243,246,03/24/1981,TECHNOLOGY MARKETING,087872610,0
244,247,03/25/1981,SEI,078411710,0
245,248,03/26/1981,EMULEX,029247510,0
246,249,03/26/1981,INFOTRON SYSTEMS,045680910,0
247,250,03/26/1981,VENTREX LABS,092281210,0
248,251,04/01/1981,AMERICAN FIBER OPTICS,002590010,0
249,252,04/01/1981,DELTA NATURAL GAS,024774810,0
250,253,04/01/1981,STERLING PIPE & SUPPLY,085949010,0
251,254,04/07/1981,INTERGRAPH,045868310,0
252,255,04/07/1981,ULTIMATE CORPORATION,090384810,0
253,256,04/08/1981,EIL INSTRUMENTS,026852610,0
254,257,04/08/1981,GERBER SYSTEMS,037373410,0
255,258,04/08/1981,KENCOPE ENERGY,048854410,0
256,259,04/08/1981,MANAGEMENT SCIENCE,561699109,0
257,260,04/08/1981,PRAIRIE PRODUCING,073965910,0
258,261,04/09/1981,EXPLORATION SURVEYS,030213510,0
259,262,04/13/1981,INTERMAGNETICS GENERAL,045877110,0
260,263,04/14/1981,COMPUTER MAGNETICS,020520810,0
261,264,04/15/1981,BIW CABLE SYSTEMS,005547510,0
262,265,04/15/1981,COMPUTER ENTRY,020509010,0
263,266,04/16/1981,INTERTEC DATA,046112110,0
264,267,04/16/1981,PIZZA TIME THEATRE,072590010,0
265,268,04/16/1981,SILICON ELECTRO-PHYSIC,082705310,0
266,269,04/21/1981,DORADO MICRO SYSTEMS,025810710,0
267,270,04/22/1981,GREATWEST HOSPITALS,039241510,0
268,271,04/22/1981,SWIFT INDEPENDENT,087074210,0
269,272,04/23/1981,DAWSON GEOPHYSICAL,023935910,0
270,273,04/23/1981,ENERSERV PRODUCTS,029274110,0
271,274,04/23/1981,ENS BIOLOGICALS,029356310,0
272,275,04/23/1981,TELESPHERE INT'L,087990810,0
273,276,04/28/1981,CHILDREN'S PLACE,016875910,0
274,277,04/28/1981,CRAWFORD ENERGY,022501510,0
275,278,04/29/1981,IKE LOVELADY,054717510,0
276,279,04/30/1981,NELSON RESEARCH,064037910,0
277,280,05/05/1981,DATA I/O,023769010,0
278,281,05/05/1981,WOMETCO CABLE TV,097816010,0
279,282,05/06/1981,NORPAC EXPLORATION SERVICES,065626810,0
280,283,05/07/1981,AMERICAN DIAGNOSTICS,002536410,0
281,284,05/07/1981,VIRATEK,092764810,0
282,285,05/12/1981,ADVANCED SEMICONDUCTOR MAT,000791410,0
283,286,05/12/1981,INTERFERON SCIENCES,045890310,0
284,287,05/12/1981,INTERPHARM LABS,046059010,0
285,288,05/12/1981,IPL SYSTEMS,044981310,0
286,289,05/12/1981,READING AVIATION,075530710,0
287,290,05/13/1981,CABLE TV INDUSTRIES,012690410,0
288,291,05/13/1981,INPUT BUSINESS MACH'S,045790410,0
289,292,05/13/1981,MOUNTAIN MEDICAL EQUIP,062422010,0
290,293,05/13/1981,NOVAR ELECTRONICS,066987610,0
291,294,05/14/1981,ASTRO DRILLING,004590010,0
292,295,05/14/1981,THORATEC LABS,088517510,0
293,296,05/19/1981,SKIPPER'S,083071510,0
294,297,05/20/1981,BALCO ENERGY,005790110,0
295,298,05/22/1981,SEVEN OAKS INT'L,081787510,0
296,299,05/27/1981,RIBI IMMUNOCHEM,076255310,0
297,300,05/28/1981,CIBOLA ENERGY,017163310,0
298,301,05/28/1981,ULTRA-SYSTEMS,090403010,0
299,302,05/28/1981,UNITEL VIDEO,091325310,0
300,303,06/02/1981,BARTON VALVE,006957610,0
301,304,06/02/1981,DETECTOR ELECTRONICS,025065710,0
302,305,06/04/1981,BONRAY DRILLING,009852310,0
303,306,06/04/1981,KIMBARK OIL & GAS,049435510,0
304,307,06/09/1981,L.B. FOSTER,035006010,0
305,308,06/09/1981,LIZ CLAIBORNE,053932010,0
306,309,06/09/1981,SOFTWARE AG,083402410,0
307,310,06/11/1981,DREYER'S ICE CREAM,026187810,0
308,311,06/12/1981,S.A.L. CABLE COMMUNIC.,078390310,0
309,312,06/17/1981,GEOPHYSICAL SYSTEMS,037247410,0
310,313,06/17/1981,KLOSS VIDEO,049875410,0
311,314,06/18/1981,ALPHA MICROSYSTEMS,002090310,0
312,315,06/18/1981,OCILLA INDUSTRIES,067555910,0
313,316,06/19/1981,KYLE TECHNOLOGY,050155110,0
314,317,06/19/1981,MICOM SYSTEMS,059478710,0
315,318,06/23/1981,FAFCO,030239010,0
316,319,06/23/1981,FIRST MATAGORDA,032090310,0
317,320,06/24/1981,ROLFITE COMPANY,077551210,0
318,321,06/24/1981,TEMPLETON ENERGY,088019410,0
319,322,06/25/1981,UNITED MEDICAL,091084410,0
320,323,06/30/1981,HBO & COMPANY,040410010,0
321,324,07/01/1981,ALLEGHENY & WESTERN,001722710,0
322,325,07/01/1981,KELLY-JOHNSTON ENTERPR,048811910,0
323,326,07/01/1981,LIEBERT,053173510,0
324,327,07/02/1981,ZONIC,098990610,0
325,328,07/09/1981,UNIVERSAL HEALTH SVCS.,091390310,0
326,329,07/14/1981,ODETICS,067606510,0
327,330,07/16/1981,COMAIR,019978910,0
328,331,07/16/1981,OMNICARE,068190410,0
329,332,07/22/1981,AMPLICA,003209810,0
330,333,07/22/1981,COMTEX SCIENTIFIC,020591410,0
331,334,07/24/1981,BIOSEARCH MEDICAL,009066010,0
332,335,07/28/1981,BEDFORD COMPUTER,007603710,0
333,336,07/28/1981,GREAT EASTERN ENERGY,039032310,0
334,337,07/29/1981,ICO,044929410,0
335,338,07/30/1981,SEIS PROS,081606410,0
336,339,08/04/1981,MONOCLONAL ANTIBODIES,060975510,0
337,340,08/05/1981,GEOPHYSICAL FIELD SURV,037291410,0
338,341,08/05/1981,PACO PHARMACEUTICAL SERV,069523410,0
339,342,08/05/1981,PANSOPHIC SYSTEMS,069863110,0
340,343,08/06/1981,TECHAMERICA GROUP,087831510,0
341,344,08/12/1981,SYSTEMATICS,087190410,0
342,345,08/13/1981,BELL PETROLEUM,007814410,0
343,346,08/18/1981,GREAT OUTDOOR AM ADVEN,039114410,0
344,347,08/18/1981,SOUTHERN MEDIC & PHARM,084333710,0
345,348,08/19/1981,INTEGRITY FIN'L GROUP,045790610,0
346,349,08/27/1981,NCA,062878710,0
347,350,08/27/1981,SOFTECH,083402110,0
348,351,09/01/1981,JEFFERSON-WILLIAMS,047549110,0
349,352,09/01/1981,STAN WEST MINING,085285810,0
350,353,09/02/1981,BOLT TECHNOLOGY,009769810,0
351,354,09/10/1981,CARDILLO TRAVEL SYSTMS,014147610,0
352,355,09/15/1981,DATA MEASUREMENT,023790310,0
353,356,09/17/1981,PRAB ROBOTS,073941310,0
354,357,09/22/1981,HOME DEPOT,043707610,0
355,358,09/22/1981,SWITCHCO,087104710,0
356,359,09/23/1981,CYCARE SYSTEMS,023290210,0
357,360,09/24/1981,SEAGATE TECHNOLOGY,081180410,0
358,361,10/01/1981,ASK COMPUTER SYSTEMS,000190310,0
359,362,10/02/1981,CORVUS SYSTEMS,022101610,0
360,363,10/06/1981,CIPHER DATA PRODUCTS,017252810,0
361,364,10/14/1981,RIO GRANDE DRILLING,076709410,0
362,365,10/14/1981,VECTOR GRAPHIC,092239410,0
363,366,10/15/1981,CARL KARCHER,048563610,0
364,367,10/15/1981,PIZZA VENTURES,072590110,0
365,368,10/15/1981,SIPPICAN OCEAN SYSTEMS,082990210,0
366,369,10/16/1981,GARCIA'S OF SCOTTSDALE,036485010,0
367,370,10/20/1981,INSITUFORM EAST,045766210,0
368,371,10/21/1981,DATAPOWER,023810210,0
369,372,10/22/1981,INT'L GAME TECHNOLOGY,045990210,0
370,373,10/23/1981,COLLAGEN,019419410,0
371,374,10/23/1981,FONAR,034443710,0
372,375,10/23/1981,KENTUCKY HORSE CENTER,049130610,0
373,376,10/28/1981,HORNBECK OFFSHORE SVS,044054210,0
374,377,10/28/1981,HYBRITECH,044860710,0
375,378,10/28/1981,SEISDATA SERVICES,081607310,0
376,379,10/29/1981,DALE ELECTRONICS,023428210,0
377,380,10/29/1981,NAUGLE'S,063906810,0
378,381,10/29/1981,UNITED CABLE TV DENVER,090970010,0
379,382,10/30/1981,METRO AIRLINES,059190510,0
380,383,11/04/1981,COMPUTONE SYSTEMS,020491010,0
381,384,11/04/1981,GULF NUCLEAR,040243010,0
382,385,11/04/1981,INSTACOM,045774110,0
383,386,11/04/1981,PETROSYSTEMS,071691310,0
384,387,11/05/1981,BRACKEN EXPLORATION,010390110,0
385,388,11/05/1981,HINDERLITER ENRGY,043307810,0
386,389,11/10/1981,MONCHIK-WEBER,060919210,0
387,390,11/17/1981,COM SYSTEMS,019977310,0
388,391,11/17/1981,SYSCON,087183010,0
389,392,11/17/1981,VISUAL TECHNOLOGY,092845510,0
390,393,11/18/1981,COMMUNICATIONS SYSTEMS,020390010,0
391,394,11/19/1981,ALEXANDER ENERGY,001461710,0
392,395,11/24/1981,UNITED STATIONERS,091300410,0
393,396,11/25/1981,UNIMATION,090490110,0
394,397,12/02/1981,EIKONIX,028256010,0
395,398,12/08/1981,HEALTHDYNE,042220310,0
396,399,12/09/1981,A.H. BELO,008055510,0
397,400,12/09/1981,COMPUTER ASSOCIATES,020491210,0
398,401,12/09/1981,GANDALF TECHNOLOGY,036471710,0
399,402,12/09/1981,H&H OIL TOOL,040404010,0
400,403,12/10/1981,ADVANCED FUEL SYSTEMS,000690110,0
401,404,12/10/1981,AVIATION GROUP,005366410,0
402,405,12/10/1981,HEALTH CARE & RETIRMNT,042190110,0
403,406,12/15/1981,NUCLEAR SUPPORT SVS.,067030910,0
404,407,12/16/1981,POLICY MANAGEMENT SYS.,731108106,0
405,408,12/22/1981,SUMMIT OILFIELD,086620710,0
406,409,12/23/1981,ESSEX,296744105,0
407,410,12/23/1981,LEXIDATA,052887510,0
408,411,01/07/1982,COMPUTER MEMORIES,020491310,0
409,412,01/19/1982,ELAN PHARMACEUTICAL RESEARCH,028413210,0
410,413,01/21/1982,INT'L ROBOMATION,045990410,0
411,414,01/27/1982,GENERAL PRODUCTION,037052910,0
412,415,01/29/1982,CRIME CONTROL,022660810,0
413,416,01/29/1982,CSP INC,012638910,0
414,417,02/02/1982,LTX CORP,050239210,0
415,418,02/02/1982,TECH FOR COMM,087869010,0
416,419,02/04/1982,EMC INSURANCE,026866410,0
417,420,02/04/1982,VORTEC CORP,092904710,0
418,421,02/11/1982,COLLABORATIVE,019419210,0
419,422,03/03/1982,HOME HEALTH CARE,043713310,0
420,423,03/16/1982,KASLER CORP,048579510,0
421,424,03/30/1982,LAIDLAW IND,050730510,0
422,425,03/30/1982,SYNTREX INC,087162510,0
423,426,04/02/1982,CASTLE ENTERTAINMENT,014790010,0
424,427,04/06/1982,GODFATHERS PIZZA,038028910,0
425,428,04/06/1982,SPACE MICROWAVE,084616410,0
426,429,04/22/1982,COMPUTER INPUT,020514510,0
427,430,04/22/1982,REXON BUSINESS,076190110,0
428,431,04/22/1982,UNITED BANKERS,090956210,0
429,432,04/27/1982,DATASWITCH,023786310,0
430,433,04/30/1982,TCA CABLE TV,087224110,0
431,434,05/06/1982,COMMUN GROUP,020339510,0
432,435,05/18/1982,CONVERGENT TECH,021247910,0
433,436,05/25/1982,TECHNICOM INT'L,087854010,0
434,437,06/03/1982,BPI SYSTEMS,005590610,0
435,438,06/08/1982,DIAGNOSTIC PRODUCTS,025245010,0
436,439,06/10/1982,MOLECULAR GENETICS,060851910,0
437,440,06/29/1982,INTERMETRICS,045881610,0
438,441,07/08/1982,MULTI-TECH,062590410,0
439,442,07/08/1982,TERA CORP,088076710,0
440,443,07/13/1982,RYAN'S FAMILY,078351910,0
441,444,07/20/1982,SUPER SKY INT'L,086790610,0
442,445,07/21/1982,ATLANTIC SE AIR,004886910,0
443,446,07/29/1982,CPI CORP,012590210,0
444,447,08/05/1982,FOSTER MEDICAL,035012410,0
445,448,08/11/1982,ENVIRONMENTAL TESTING AND C,067083910,0
446,449,08/17/1982,ELECTRONIC MAIL CORP OF AMER,028574210,0
447,450,08/20/1982,UNIVERSAL MONEY,091375610,0
448,451,08/26/1982,VICORP RESTAURANTS,092581710,0
449,452,09/01/1982,FAMILY ENTERTAINMENT,030700410,0
450,453,09/02/1982,NORTH FORK Bancorporation,065942410,0
451,454,09/09/1982,ELECTRONIC THEATRE RESTAUR,028586510,0
452,455,09/15/1982,ELECTRONICS CORP OF ISRAEL,028607010,0
453,456,09/23/1982,PSYCH SYSTEMS,074437410,0
454,457,09/29/1982,GENEX CORP,037227510,0
455,458,09/29/1982,ON LINE SOFTWARE,068218010,0
456,459,09/29/1982,Rodime PLC,077487520,0
457,460,10/01/1982,BIOMET INC,009061310,0
458,461,10/07/1982,TANO CORP,087588610,0
459,462,10/15/1982,GOTT CORP,038348310,0
460,463,10/19/1982,INTECOM INC,045809810,0
461,464,10/26/1982,SIZZLER RESTAURANTS,083014010,0
462,465,10/29/1982,MERRIMAC INDUSTRIES,059026210,0
463,466,11/02/1982,SYSTEMS & COMPUTERS,087187310,0
464,467,11/04/1982,AARON RENTS,000253510,0
465,468,11/04/1982,ALTOS COMPUTERS,002206010,0
466,470,11/16/1982,TACO VIVA,087345010,0
467,471,11/18/1982,LEE DATA,052376310,0
468,472,11/26/1982,TRIANGLE MICROWAVE,895883106,0
469,473,11/29/1982,AREA COMMUNICATION,003987610,0
470,474,12/01/1982,PATIENT TECH,070321410,0
471,475,12/01/1982,QUALITY SYSTEMS,074758210,0
472,476,12/02/1982,ARGOSYSTEMS,004023910,0
473,477,12/03/1982,PAR TECHNOLOGY,069888410,0
474,478,12/07/1982,DIONEX CORP,025454610,0
475,479,12/07/1982,RAYMOND ENGINEERING,075470810,0
476,480,12/07/1982,UNITED ED AND SFTWRE,091020410,0
477,481,12/10/1982,HOGAN SYSTEMS,043460210,0
478,482,12/10/1982,QUANTUM CORP,074790610,0
479,483,12/14/1982,CENTOCOR INC,015234210,0
480,484,12/14/1982,GD RITZY'S,076801510,0
481,485,12/14/1982,NEWAIR FLIGHT,065018810,0
482,486,12/16/1982,GENERAL PHYSICS,037048510,0
483,487,12/16/1982,PERCEPTRONICS,071361110,0
